times per minute	veces por minuto
sheets	hojas|sábanas|láminas|planos|papeles
acre	acre
widgets	"""Widgets"" is a term that refers to small applications or tools that can be added to a website or a computer desktop. In Spanish, it is commonly translated as ""widgets"" or ""gadgets"". Therefore, valid Spanish translations of ""widgets"" could be:

- Widgets
- Gadgets"
ounces	onzas
keys	llaves
times stronger than Earth's	veces más fuerte que la Tierra
kilogram	kilogramo
square feet	pies cuadrados
minutes per mile	minutos por milla
miles per second	millas por segundo
Pascals	Pascals
PSI	"PSI is an English acronym that stands for ""pounds per square inch"". In Spanish, it can be translated as ""libras por pulgada cuadrada"" or ""psi"" (pronounced ""p-s-i"" in Spanish)."
tesla	tesla
pascals	pascals
meters by meters	metros por metros
milligrams	miligramos
kilograms meters per second	kilogramos metros por segundo
cylinders	cilindros
meter	metro
mmHg	milímetros de mercurio
kg	kilogramo
mAh	"mAh stands for milliampere-hour, which is a unit of electric charge. In Spanish, it can be translated as ""miliamperio-hora"" or ""miliamperios-hora""."
minutes per kilometer	minutos por kilómetro
hairs	pelos
battery	batería
degrees	grados
N	"""N"" is not a physical unit, it is a letter. Therefore, it does not have a valid Spanish translation as a physical unit."
kilometers per hour	kilómetros por hora
milliliters	mililitros
newtons	newtons
newton meter	metro newton|newton metro|metro-newton|newton-metro
gram per milliliter	gramo por mililitro
meters per square second	metros por segundo al cuadrado | metros por segundo al cuadrado (m/s²)
Fahrenheit	Fahrenheit. The symbol is the same in Spanish as in English: °F.
seconds	segundos
kilotons	kilotones
m/s²	metros por segundo al cuadrado
horsepower	caballo de fuerza|caballos de fuerza|caballos de potencia|caballo de potencia|HP (abbreviation)|CV (abbreviation)
million miles	millón de millas
per minute	por minuto
Joules	Joules
km	kilómetro
joules	julios
ml	mililitro
grams per cubic centimeter	gramos por centímetro cúbico
heartbeat	latido del corazón | pulso cardiaco | ritmo cardíaco
yards	yardas
pixels per inch	píxeles por pulgada
calories per mile	calorías por milla
units	unidades
cubic feet per second	pies cúbicos por segundo
dB	decibelios
weeks	semanas
nanoteslas	nanoteslas
people	personas
day	día
hectopascals	hectopascales
second	segundo
billion kilometers	mil millones de kilómetros
short tons	toneladas cortas
thousand feet	mil pies
billion years	mil millones de años
meter per second squared	metro por segundo al cuadrado | metros por segundo al cuadrado
nautical miles	millas náuticas
cubic feet	pies cúbicos
megapixels	megapíxeles
revolutions per minute	revoluciones por minuto
pounds per gallon	libras por galón
gram per cubic centimeter	gramo por centímetro cúbico | gramos por centímetro cúbico
cubic inches	pulgadas cúbicas
times per day	veces al día
megajoules	megajulios
carats	quilates
square meters	metros cuadrados
atmospheres	atmósferas
hertz	hertz
tonnes	toneladas
British thermal units	unidades térmicas británicas | BTU (acronym commonly used in Spanish)
mg	miligramo
m/s	metros por segundo
times	veces|tiempos
mile	milla
kilometers per second	kilómetros por segundo
million Kelvins	millón de Kelvin
breaths per minute	respiraciones por minuto
amperes	amperios
Nm	"Nm stands for ""newton metro"" which is a unit of torque. The valid Spanish translation is ""newton metro""."
dBFS	"dBFS (decibels relative to full scale) is a technical term that refers to the level of a digital audio signal. In Spanish, it can be translated as ""decibelios de escala completa"" or ""decibelios en relación a la escala completa""."
spectators	espectadores
ft	pies
g/cm³	gramos por centímetro cúbico | gramos por centímetro cubico | gramos/cm³ | gramos/cm3 | g/cm³ | g/cm3
kelvin	kelvin
millibars	milibares
Pascal	Pascal
millimeters	milímetros
trillion miles	billones de millas
bpm	"bpm stands for ""beats per minute"" in English. In Spanish, it can be translated as ""pulsaciones por minuto"" or ""latidos por minuto""."
kWh	kWh (kilovatio-hora) is already a valid Spanish translation.
ly	ly (abreviatura de años luz)
