down in the dumps	deprimido | triste
his heart set on	estar decidido a hacer algo|tener la mente puesta en algo
an uphill battle	una tarea difícil y complicada que requiere mucho esfuerzo y dedicación.
in over her head	estar en problemas|estar en aprietos|estar en dificultades|estar en una situación que no se puede manejar
with words	con las palabras
circumstances beyond our control	circunstancias imprevistas fuera de nuestro control
her own business	su propio negocio
running around like a headless chicken	moverse como pollo sin cabeza
the show	el protagonismo|la atención de todos
food for thought	motivos para reflexionar|razones para pensar|argumentos para considerar
between you and me	entre nosotros|en confianza
take shape	empezar a tener forma|empezar a tomar forma
a litter of kittens	NA (This is not an idiomatic expression, it is a literal description of a situation.)
roll with the punches	adaptarse a los cambios y dificultades de la vida sin desanimarse
To let the cat out of the bag	revelar un secreto|descubrir algo que se quería mantener en secreto
between a rock and a hard place	estar entre la espada y la pared
knocking on wood	"NA (This expression is not an idiom, but a combination of two idiomatic expressions: ""her knees were knocking"" meaning she was trembling with fear or nervousness, and ""knocking on wood"" meaning to touch or knock on wood for good luck or to avoid tempting fate.)"
your chickens before they're hatched	contar con algo que aún no ha sucedido|dar algo por hecho antes de que suceda
nipped it in the bud	solucionamos el problema a tiempo|cortamos el problema de raíz
spilled milk	algo que ya pasó y no se puede cambiar|lo que ya está hecho y no se puede remediar
ins and outs	todos los detalles|todos los entresijos
pick up the ball and run with it	continuar con algo que se dejó pendiente sin problemas o dificultades.
put your best foot forward	hacer una buena impresión|dar lo mejor de uno mismo
Burning bridges	romper relaciones definitivamente|quemar las naves
beg, borrow or steal	hacer lo que sea necesario para conseguir algo, incluso si es ilegal o inmoral
let the chips fall where they may	aceptar las consecuencias|dejar que las cosas sucedan naturalmente|dejar que las cosas sigan su curso natural
walking the talk	cumplir lo que se dice|demostrar con acciones lo que se dice
break the ice	hacer el primer movimiento para iniciar una conversación o relación amistosa con alguien que no conoces o que está distante.
put our best foot forward	hacer lo mejor que podamos|dar lo mejor de nosotros mismos
play it by ear	improvisar|decidir sobre la marcha|adaptarse a las circunstancias
bee in his bonnet	obsesión por algo, idea fija
separating the wheat from the chaff	separar a los buenos de los malos|separar a los mejores de los peores|separar a los que saben de los que no saben|separar a los capaces de los incapaces
putting money aside for a rainy day	ahorrar para tiempos difíciles|ahorrar para el futuro|prepararse para lo peor
call it a day	terminar por hoy|dar por finalizado el trabajo del día
on cloud nine	muy feliz|en la cima del mundo
spice things up	darle sabor a las cosas|darle vida a las cosas|animar las cosas
at home	como en casa|cómodos y bienvenidos
seize the day	aprovechar el momento|aprovechar el día
nodding off	quedarse dormido sin querer|mecerse en los brazos de Morfeo
like a duck to water	adapted well and comfortably to the new situation
hit the books	ponerse a estudiar con dedicación y esfuerzo.
bounce back	recuperarse de un revés|superar un contratiempo
building castles in the air	soñar despierto|tener ilusiones sin fundamento
fighting chance	posibilidad de éxito a pesar de las dificultades
my back	mi espalda|mi apoyo
coming up roses	todo está saliendo bien|todo está yendo sobre ruedas
golden touch	habilidad especial para hacer algo muy bien|toque de oro
hit the ground running	empezar a trabajar enseguida con éxito|ponerse en marcha rápidamente y con éxito
cut to the chase	ir al grano|ir directo al punto
stranger than fiction	más extraño que la ficción
keep an eye on them	vigilarlos|observarlos de cerca
digs in her heels	mantenerse firme en su posición|no cambiar de opinión
let out a sigh of relief	soltar un suspiro de alivio
down the drain	al fracaso|al desastre|a la ruina
cost an arm and a leg	costar un ojo de la cara|costar un riñón
bend over backwards	hacer todo lo posible|esforzarse al máximo|sacrificarse para lograr algo
sit well with me	me hace sentir incómodo|no me convence completamente
In a nutshell	En resumen|En pocas palabras
green around the gills	tener poca experiencia|estar verde
chip on his shoulder	actitud defensiva o resentida
keep your chin up	mantenerse fuerte|mantenerse optimista|no desanimarse
dropped the ball	fallar|cometer un error grave|dejar pasar una oportunidad
put all his eggs in one basket	arriesgarlo todo en una sola cosa|jugárselo todo a solo una cosa
see eye to eye	estar de acuerdo|tener la misma opinión
right up my alley	algo que me gusta o que se me da bien.
beating a dead horse	insistir en algo que ya no tiene solución|tratar de hacer algo que ya no tiene sentido
have a cow	ponerse como loco|ponerse como una fiera|ponerse como una cabra
threw in the towel	rendirse|tirar la toalla
lean on her	contar con ella|apoyarme en ella
hammer out	trabajar duro para resolver algo|llegar a una solución después de mucho esfuerzo y trabajo
to go the extra mile	hacer un esfuerzo adicional|ir más allá de lo que se espera
stolen her thunder	haberle quitado el mérito|haberle robado la idea
caught between a rock and a hard place	estar en una situación difícil o comprometida sin saber qué hacer
fallen flat	fracasado | no tuvo éxito | no funcionó
to bite off more than I can chew	asumir más de lo que puedo manejar|asumir más de lo que puedo abarcar|asumir más de lo que puedo hacer
up in the air	incierto|en el aire|impredecible
up in smoke	fracasó|se arruinó|se fue al traste
dead in the water	sin posibilidad de éxito|paralizado|estancado
sink in	asimilar|entender completamente|comprender completamente
to hit the hay	irse a dormir | irse a la cama
running around like a chicken with its head cut off	estar corriendo de un lado a otro sin rumbo fijo|estar como pollo sin cabeza
behind the eight ball	estar en una situación difícil|estar en desventaja
in a rut	en una rutina aburrida y sin cambios
to butter me up	adularme|halagarme
the ground running	empezar a trabajar enseguida con éxito
the whole nine yards	hacer algo completamente|ir hasta el final en algo
a clean slate	un nuevo comienzo|empezar de cero
put the cart before the horse	hacer las cosas en el orden incorrecto|anticipar las cosas antes de que sea apropiado hacerlo
the box	lo convencional|lo tradicional|lo establecido
bite off more than I can chew	aceptar más de lo que puedo manejar|asumir más de lo que puedo hacer frente
her pride	su orgullo
in no time	en muy poco tiempo|en un abrir y cerrar de ojos
keep our eyes peeled	estar atentos|estar alerta|estar pendientes
to wrap his head around	comprender|entender completamente
early bird catches the worm	el que madruga, Dios le ayuda
put their nose to the grindstone	trabajar duro|intensificar el trabajo
to cut to the chase	ir al grano|ir directo al punto
whole new ballgame	una situación completamente nueva|algo completamente diferente
to pull your leg	tomarle el pelo|bromear con alguien|engañar a alguien en broma
to keep their chin up	mantenerse optimista o valiente a pesar de las dificultades
take the backseat	ceder el control|dejar que alguien más tome las decisiones
strike while the iron is hot	aprovechar el momento oportuno|actuar en el momento adecuado
breathe easy	sentirse aliviado|respirar tranquilo
a spoonful of sugar	un poco de dulzura o de humor para hacer algo más agradable o soportable
in the red	en números rojos|en pérdidas
feel under the weather	sentirse mal|estar decaído|estar triste o desanimado
hits the nail on the head	acertar en el blanco|dar en el clavo
of leeway	de libertad para actuar o decidir|de margen de maniobra
in due course	en su debido momento|a su debido tiempo
spill the beans	revelar un secreto|contar algo que no se debería contar
Bite the bullet	Tomar una decisión difícil sin vacilar.
keep their eyes peeled	estar atentos|estar alerta|estar pendientes
put our noses to the grindstone	trabajar duro|ponerse las pilas|ponerse manos a la obra
turn the tables	dar vuelta a la situación|cambiar el rumbo de los acontecimientos
fall through	fracasar|no llevarse a cabo|caerse
keep the ball rolling	mantener el impulso|seguir adelante con el proyecto
let the cat out of the bag	revelar un secreto|contar algo que se suponía debía mantenerse en secreto
hang in there	aguantar|perseverar|mantenerse firme
a blur	una confusión|un borrón
pull the wool over people's eyes	engañar a la gente|dar gato por liebre a la gente
dropping the ball	fallar|cometer un error grave|dejar pasar una oportunidad importante
pull himself together	recomponerse|ponerse en orden|recuperar la compostura
rat race	una competencia feroz y sin sentido por el éxito y el dinero
to hit the ground running	empezar a trabajar enseguida con éxito
spot on	exacto|preciso|acertado
stringing her along	hacerle creer que hay una posibilidad de relación seria, pero sin comprometerse realmente|engañarla con falsas promesas de una relación seria
a cash cow	una fuente de ingresos segura y constante
traffic jam	atasco|embotellamiento
went the whole nine yards	hacer algo completamente o con todo el esfuerzo posible.
let sleeping dogs lie	Dejar las cosas como están|No revolver el asunto
dot our i's and cross our t's	hacer las cosas con precisión y atención al detalle
paint the town red	salir de fiesta|divertirse mucho en la noche
pulled myself up by my bootstraps	hacer un gran esfuerzo para superar una dificultad o problema|levantarse por sus propios medios de una situación difícil
bail out	abandonar algo rápidamente|irse de algo rápidamente
point him in the right direction	darle las indicaciones correctas|guiarlo en la dirección correcta
to keep a stiff upper lip	mantener la compostura|mantener la calma y la profesionalidad
sleep on it	pensarlo bien|dormir sobre el asunto|reflexionar antes de tomar una decisión
fish out of water	sentirse incómodo o fuera de lugar
a laugh riot	algo muy divertido|algo muy gracioso
make or break	decisivo|clave|determinante
let off steam	desahogarse|liberar tensiones
click with you	entenderlo de repente|comprenderlo de repente
slow as molasses	muy lento|lento como un caracol
flat as a pancake	completamente fallido|sin éxito
calls the shots	tomar las decisiones|tener el control
talk the hind legs off a donkey	hablar por los codos
fly off the handle	enfadarse fácilmente|perder los estribos fácilmente
throw in the towel	rendirse|tirar la toalla
bite your tongue	morderse la lengua|guardar silencio
to get a foot in the door	conseguir una oportunidad para empezar a trabajar en una empresa o sector determinado
let their hair down	relajarse y divertirse sin preocupaciones
have a chip on her shoulder	sentirse ofendido o resentido sin motivo aparente
to keep their heads above water	mantenerse a flote|sobrevivir
beating around the bush	hablar sin llegar al punto|no ir al grano
to keep my chin up	mantenerse fuerte|mantenerse positivo
started to butt heads	empezar a tener desacuerdos o conflictos
to move the goalposts	cambiar las reglas del juego
let bygones be bygones	dejar el pasado atrás|olvidar lo que pasó y seguir adelante
keep all her ducks in a row	mantener todo en orden|tener todo bajo control
laugh his head off	reírse a carcajadas
jump out of her skin	estar tan impaciente que no se puede estar quieto o calmado
at a snail's pace	a paso de tortuga|lentamente
come out of his shell	salir de su caparazón|ser más sociable o extrovertido
get one's act together	ponerse las pilas|ponerse en orden|organizarse|prepararse adecuadamente
as cool as a cucumber	muy tranquila|imperturbable|serena
a wild-goose chase	una pérdida de tiempo|una búsqueda inútil
keep the wolf from the door	mantenerse a flote económicamente|sobrevivir económicamente
she has ants in her pants	Estar inquieto o impaciente, no poder estar quieto.
putting all their eggs in one basket	arriesgarlo todo en una sola cosa|jugárselo todo a solo una cosa
get a foot in the door	tratar de obtener información o acceso a algo o alguien de manera insistente o entrometida
burn the midnight oil	trabajar hasta muy tarde en la noche|quemar las pestañas
feather in her cap	un gran logro|un gran éxito
turn over a new leaf	empezar de nuevo|cambiar de actitud o comportamiento
have his cake and eat it too	querer tener todo|pretender tener todo|pretender tener lo mejor de ambos mundos
weight off her shoulders	sentirse aliviado|sentirse liberado
better than a poke in the eye with a sharp stick	Es mejor que nada|Es mejor que un golpe en el ojo con un palo afilado
ballpark figure	una cifra aproximada
all your eggs in one basket	arriesgarlo todo en una sola cosa|jugárselo todo a solo una cosa
actions speak louder than words	lo que haces habla más fuerte que lo que dices
with a pinch of salt	con escepticismo|con precaución
tied to the apron strings	depender demasiado de alguien, especialmente de la madre o la familia
off the top of his head	de memoria|sin pensarlo
knock on wood	tocar madera
music to my ears	música para mis oídos
in hot water	en problemas|en apuros|en dificultades
couch potato	persona que pasa mucho tiempo sentada viendo televisión o sin hacer nada
went their separate ways	se fueron por caminos separados
to look on the bright side	ver el lado positivo de las cosas
to keep my head above water	mantenerse a flote|sobrevivir a pesar de las dificultades
her bridges	todas sus posibilidades|todas sus opciones
burning a hole in my pocket	gastar dinero rápidamente|tener ganas de gastar dinero enseguida
set in his ways	ser muy terco|ser muy inflexible|no cambiar de opinión fácilmente
to play fast and loose	actuar sin escrúpulos|no respetar las reglas
to throw in the towel	rendirse|tirar la toalla
cold shoulder	trato frío o indiferente
big fish in a small pond	alguien importante en un lugar poco importante|alguien que se siente importante en un lugar poco importante
burning the midnight oil	trabajar hasta muy tarde en la noche|quemarse las pestañas
damp squib	algo que no cumple con las expectativas|algo que no tiene éxito
keep my chin up	mantenerse fuerte|mantenerse optimista|no desanimarse
take the rap	asumir la culpa|cargar con la culpa
getting the hang of it	estar cogiendo el truco|estar aprendiendo rápido
in over my head	estar en problemas demasiado grandes para manejarlos|estar en una situación demasiado difícil o complicada para manejarla
cool head	Mantener la calma bajo presión.
life of the party	la persona que anima la fiesta|el alma de la fiesta
noses to the grindstone	trabajar duro y sin descanso|estar enfocado en el trabajo y no distraerse
bigger picture	la perspectiva general|el panorama completo
get on the same page	ponernos de acuerdo|estar en la misma sintonía
off the cuff	sin preparación previa|sin pensar mucho en lo que se dice
her all	todo lo que tenía|todo su esfuerzo y energía disponible
to sweeten the pot	ofrecer algo adicional para hacer algo más atractivo o interesante
bought hook, line and sinker	creí todo lo que me dijeron|me lo creí todo sin dudar
to go the distance	llegar hasta el final|terminar lo que se empezó
to treat yourself	darse un gusto|darse un capricho|darse un lujo
spinning our wheels	estar estancados|no avanzar
silver lining	algo positivo en una situación negativa|un rayo de esperanza en una situación difícil
to hit the nail on the head	acertar en el blanco|dar en el clavo|acertar en el meollo del asunto
with a chip on her shoulder	con una actitud hostil o resentida
with a grain of salt	con escepticismo|con precaución|con reservas
to play devil's advocate	defender una postura contraria a la que se está discutiendo para generar debate o reflexión.
a social butterfly	una persona muy sociable y extrovertida
the benefit of the doubt	dar el beneficio de la duda
a bitter pill to swallow	una situación difícil de aceptar o tragar
a fish out of water	sentirse fuera de lugar|sentirse como pez fuera del agua
sell it like hotcakes	vender algo muy rápidamente y con gran éxito|vender algo muy bien y en grandes cantidades
pull out all the stops	hacer todo lo posible|poner todo de nuestra parte|dar el máximo esfuerzo
all hat, no cattle	hablar mucho pero no tener nada que lo respalde|mucho ruido y pocas nueces
to pass up	dejar pasar|rechazar
to stay ahead of the game	mantenerse por delante de la competencia|estar un paso adelante de la competencia
to turn over a new leaf	empezar de nuevo|cambiar de actitud|cambiar de rumbo
drop in the bucket	algo insignificante|algo muy pequeño en comparación con lo que se necesita o se espera
sticker shock	sorpresa desagradable por el precio de algo|susto por el precio de algo
take a rain check	posponer algo para otro momento|cancelar algo y reprogramarlo para otro momento
has her ducks in a row	tener todo bajo control|tener todo en orden
jump on the bandwagon	seguir la corriente|unirse a la moda o tendencia popular
cross the finish line	lograr el objetivo|terminar el proyecto con éxito
butterflies in his stomach	nerviosismo|mariposas en el estómago
lick my wounds	recuperarme emocionalmente después de una experiencia difícil o dolorosa
kill two birds with one stone	hacer dos cosas a la vez con un solo esfuerzo|resolver dos problemas con una sola acción
red herrings	información engañosa o distractora
of the essence	esencial|crucial|importante
she missed the boat	Ella perdió la oportunidad|Ella llegó tarde a la cita
the bush	hablar sin decir nada en concreto|no ir al grano|hablar de manera indirecta
a fly in the ointment	un problema inesperado|un obstáculo imprevisto
you're tilting at windmills	You are wasting your time and energy on something that is impossible or unlikely to succeed.
keep an eye on him	vigilarlo|estar atento a él
moving the goalposts	cambiar las reglas del juego|cambiar los objetivos
playing both sides	jugar a dos bandas|tener doble juego
robbing Peter to pay Paul	usar el dinero de una cosa para pagar otra cosa|robar a Pedro para pagar a Pablo
cold feet	tener dudas o miedo a hacer algo que se había planeado o decidido hacer, especialmente algo importante o que implica un compromiso.
up the creek without a paddle	en problemas serios sin solución aparente|en una situación difícil sin recursos ni ayuda
silver spoon in her mouth	haber nacido en cuna de oro|haber nacido en una familia adinerada
hitting the hay	irse a dormir | irse a la cama
the real McCoy	la cosa auténtica o genuina|la verdadera cosa
stirring the pot	crear problemas|provocar conflictos
take the bull by the horns	enfrentar un problema directamente|tomar el toro por las astas
live it up	vivir a lo grande|disfrutar al máximo|vivir la vida loca
back in the saddle	volver a estar en control|volver a estar en el juego|volver a estar en acción
jump ship	cambiar de trabajo abruptamente|abandonar un trabajo sin previo aviso
play my cards right	actuar de manera astuta o inteligente para lograr lo que se quiere|jugar bien las cartas
pushing the envelope	ir más allá de los límites establecidos|explorar nuevas posibilidades o límites
get off her high horse	dejar de ser arrogante o pretenciosa|bajar de su pedestal
cut corners	hacer algo de manera más rápida o económica, pero sin hacerlo de la manera correcta o completa.
put your nose to the grindstone	trabajar duro y concentrarse en algo para lograrlo|esforzarse al máximo para lograr algo
flies off the handle	enfadarse mucho|rabiarse
go back to square one	volver a empezar desde cero|volver al punto de partida
hit rock bottom	llegar al fondo|tocar fondo|estar en el peor momento de su vida
point me in the right direction	dar una orientación adecuada|indicar el camino correcto a seguir
the name of the game	la norma|la regla
rocket science	algo muy complicado o difícil de entender
hold my horses	esperar un momento|tener paciencia
in the dark	sin entender|sin saber lo que está pasando|en la ignorancia
go the extra mile	hacer un esfuerzo adicional|hacer más de lo que se espera
kick the bucket	morir
burn that bridge when we come to it	Tomar una decisión difícil en el futuro, cuando sea necesario, sin preocuparse por las consecuencias.
brick wall	un obstáculo insuperable|una barrera infranqueable
chicken out	echarse atrás|rajarse|acobardearse
have butterflies in his stomach	sentir mariposas en el estómago|tener nervios
a chip on my shoulder	sentir resentimiento o enojo por algo que sucedió en el pasado y que todavía afecta a la persona
laugh their head off	reírse a carcajadas
all hands on deck	todos a la obra|todos a la carga
under wraps	en secreto|en confidencia|en privado
to beat around the bush	hablar sin llegar al punto|no ir al grano
wet behind the ears	inexperto|novato|sin experiencia
in order	en orden|bien organizados|bien estructurados
nip it in the bud	solucionarlo ahora antes de que empeore|cortar de raíz el problema ahora
took the plunge	tomar la decisión difícil o arriesgada de hacer algo, especialmente algo que se ha estado posponiendo o que se considera importante o significativo.
bring home the bacon	lograr el éxito financiero de la empresa|asegurar el éxito financiero de la empresa
big break	gran oportunidad|gran éxito
out of the blue	inesperado|de repente|sin previo aviso
blank out	quedarse en blanco|olvidar todo lo que se sabe
feeling under the weather	sentirse mal|enfermarse
sit on her hands	no hacer nada|quedarse de brazos cruzados
went out the window	desaparecieron|se fueron
feeling jittery	sentirse nervioso|inquieto|agitado
by the wayside	quedar en el olvido|fracasar
get away from it all	alejarse de todo|escapar de todo
cash cow	fuente de ingresos seguros y constantes | negocio rentable y seguro
off the charts	fuera de lo común|fuera de serie|increíblemente bueno
to heart	tomar algo a pecho
flash in the pan	algo que parece prometedor al principio pero que no tiene éxito a largo plazo
dogged determination	determinación firme|tenacidad incansable
meeting of the minds	acuerdo mutuo|consenso
burn any bridges	no cerrar puertas|no quemar puentes
bite my tongue	guardar silencio|contenerse para no decir algo
to break the ice	romper el hielo|iniciar una conversación
to clean house	hacer limpieza|limpiar la casa
to call it a day	decidir terminar algo|dar algo por terminado|abandonar algo
walking on eggshells	sentirse incómodo o inseguro alrededor de alguien, como si estuviera pisando huevos sin romperlos
fair weather	tiempo agradable|buen tiempo
to get our foot in the door	conseguir una oportunidad inicial o una entrada en un lugar o situación difícil de acceder.
count her chickens before they hatched	dar algo por hecho antes de que suceda|anticipar algo que aún no ha sucedido
Burning the midnight oil	quemarse las pestañas|trabajar hasta muy tarde en la noche
keep your head above water	mantenerse a flote|sobrevivir financieramente
put two and two together	juntar las piezas del rompecabezas|unir los puntos
black and white	sencillo o claro|bueno o malo|blanco o negro
missed the boat	perder una oportunidad|llegar tarde a algo que ya no se puede hacer
fast learner	persona que aprende rápido
let it all hang out	expresarse libremente|decir todo lo que piensa sin restricciones
walk the walk	demostrar con acciones lo que se dice con palabras|respaldar las palabras con acciones
your foot in the door	conseguir una oportunidad inicial o un pie en el mundo laboral
get our ducks in a row	organizarnos|ponernos en orden|prepararnos adecuadamente
to have her cake and eat it too	querer tener todo a la vez|pretender tenerlo todo
have bigger fish to fry	tener problemas más importantes que atender|tener asuntos más graves que resolver
let my hair down	relajarme|desinhibirme
has a heart of gold	tener un corazón de oro
put my two cents in	dar mi opinión|meter baza|meter cuchara
the pedal to the metal	hacer algo con mucha energía o rapidez|acelerar el ritmo de algo
spilling the beans	revelar un secreto|contar algo que no se debía contar
outside the box	fuera de lo convencional|pensar de manera creativa y original
a thorn in my side	algo que me molesta o me causa problemas constantemente
making waves	causando sensación|generando impacto
lame duck	persona o cosa que no tiene éxito o no funciona bien|excusa poco convincente
all mouth and no trousers	hablar mucho pero no hacer nada|mucho ruido y pocas nueces
practice makes perfect	la práctica hace al maestro
brownie points	puntos extras|crédito extra|reconocimiento extra
a can of worms	una situación complicada o problemática que se desencadena a partir de una acción o decisión
deer caught in headlights	persona que se queda paralizada sin saber qué hacer o decir en una situación inesperada o estresante.
more harm than good	más daño que beneficio
the bag	NA
a stiff upper lip	mantener la compostura|no mostrar debilidad o emoción ante la adversidad
blew her top	perder los estribos|perder la paciencia
to tighten our belts	ajustarnos el cinturón|apretarnos el cinturón
to stay above water	mantenerse a flote|no dejarse vencer por las dificultades
finger-licking good	delicioso/a (que te chuparás los dedos)|para chuparse los dedos
to face the music	afrontar las consecuencias de algo que se ha hecho o que ha sucedido, especialmente si son desagradables o negativas.
to fit a square peg into a round hole	tratar de encajar algo que no encaja|forzar algo para que encaje
be a breath of fresh air	ser algo nuevo y refrescante|ser un cambio positivo y renovador
get back on the horse	volver a intentarlo|retomar algo después de un fracaso o una dificultad
to be ahead of the curve	estar a la vanguardia|estar a la cabeza
to bark up the wrong tree	equivocarse de objetivo|buscar en el lugar equivocado|dirigirse a la persona equivocada
made the cut	haber cumplido con los requisitos|haber sido seleccionado/a
to bring home the bacon	lograr el éxito financiero|ganar dinero
To make a long story short	para resumir|en resumen|en pocas palabras
lean on	contar con alguien|apoyarse en alguien
rock the boat	evitar problemas o conflictos innecesarios|no causar problemas o conflictos innecesarios
shoulder to cry on	alguien que te escuche y te apoye emocionalmente|un hombro en el que llorar
kill them with kindness	tratar a alguien difícil con amabilidad para desarmarlo o ganárselo
at a low ebb	en baja|en un momento de depresión o desánimo
on the ball	estar alerta|estar atento|estar al tanto
pull it off	lograr algo con éxito|conseguir algo con éxito
perseverance pays off	la perseverancia tiene recompensa|el esfuerzo tiene su recompensa
land on his feet	salir bien parado|resolver la situación con éxito
take your eye off the ball	distraerse de lo importante|perder de vista el objetivo
cutting the mustard	haciendo un buen trabajo|demostrando ser competente en su trabajo
feel the burn	sentir el cansancio|estar agotado
grin from ear to ear	sonreír de oreja a oreja
cup of tea	algo que le gusta mucho|algo que le apasiona
pat on the back	palabras de aliento|apoyo moral
peaches and cream	todo es perfecto|todo es maravilloso
on edge	nervioso|tenso|inquieto
pinch of salt	"figurative translation of ""a pinch of salt"" is to add a small amount of skepticism or doubt to something."
close to his chest	guardar algo para uno mismo|no compartir información con nadie
cutting it too thin	dejar muy poco tiempo|estar muy ajustado de tiempo
midnight oil	trabajar hasta muy tarde en la noche|quemar las pestañas
guts and grit	coraje y determinación
moving full steam ahead	avanzando a toda máquina|avanzando a toda velocidad
play both sides	tener doble juego|jugar a dos bandas
stay put	quedarse donde estás|no moverse de donde estás
Biting the bullet	Afrontar una situación difícil con valentía o resignación.
you can't have your cake and eat it too	No se puede tener todo en la vida|No se puede tener el cielo y la tierra
pulling my leg	tomándome el pelo|bromeando conmigo
pulled the rug out from under me	sentir que el suelo se mueve bajo mis pies|sentir que me han quitado el suelo de debajo de los pies
Barking up the wrong tree	Buscar en el lugar equivocado|Estar equivocado en la búsqueda
budge an inch	no ceder ni un ápice|no cambiar de opinión
running on fumes	estar agotado|estar sin energía|estar al límite
off the wall	fuera de lugar|inapropiado|extraño
raining on our parade	arruinar nuestra diversión|aguar nuestra fiesta
playing with fire	hacer algo peligroso o arriesgado|jugar con fuego
hunker down	prepararse para una situación difícil o peligrosa|refugiarse
cross that bridge when I come to it	Preocuparse por algo solo cuando llegue el momento|No preocuparse por algo hasta que sea necesario
the good fight	la buena lucha | la buena batalla
take the plunge	tomar la iniciativa|atreverse a hacer algo que implica un riesgo
the blues	sentimiento de tristeza o depresión sin causa aparente.
turn things around	dar un giro a las cosas|cambiar el rumbo de las cosas|mejorar la situación
be there for her	apoyarla|estar ahí para ella
sweep them under the rug	ignorarlos|ocultarlos|no prestarles atención
cooking the books	falsificar las cuentas|maquillar las cuentas
broke the ice	romper el hielo
the real deal	la auténtica cosa|lo genuino|lo auténtico|lo verdadero|lo auténtico y genuino
take a load off	descansar|relajarse
a bunch of baloney	una excusa sin sentido|una excusa inventada
thin ice	situación peligrosa o arriesgada
batting an eye	sin pestañear|sin inmutarse
chickens out	echarse atrás|acobardarse|arrugar
burn bridges	romper relaciones|cortar lazos
keep our ducks in a row	tener todo organizado|tener todo bajo control|tener todo en orden
behind closed doors	en secreto|en privado|a puerta cerrada
pull the wool over my eyes	engañarme|tratar de engañarme
throwing money down the drain	tirar el dinero|tirar el dinero por la ventana
