down in the dumps	落ち込んでいる|がっかりしている
making a mountain out of a molehill	取るに足らないことを大げさに言う|とるにたがらないことをおおげさにいう
skeletons in his closet	隠しておきたい秘密がある|隠しておきたい過去がある
hit the nail on the head	的を射る|まさにその通りにする
bigger fish to fry	より重要なことがある|より大事なことがある
it takes two to tango	一人で踊れない|一人ではできない
hit the hay	寝る|ねる
bats in his belfry	頭がおかしい|頭が狂っている
hot under the collar	腹が立っている|はらがたっている
smoke and mirrors	うさんくさい|うやむやな
a chip on his shoulder	自分に対する不満や怒りを抱えている|自分勝手で人と関わりたくない
the icing on the cake	さらに素晴らしいものを加える|さらに良いものを加える
a chip off the old block	父親似の息子|父親似の後継者
break a leg	頑張ってください|がんばってください
tighten our belts	出費を控える|出費を抑える
barking up the wrong tree	彼は的外れなことを言っている|彼は本題から外れている
stick to her guns	自分の信念を貫く|じぶんのしんねんをつらぬく
his heart set on	彼はそのアイデアに心を奪われている|彼はそのアイデアに心を奪われている
an uphill battle	困難な戦い|困難な闘い|苦戦
in over her head	手に負えなくなっている|手に負えない状況にある
with words	言葉で|言葉を使って
circumstances beyond our control	制御できない状況|制御不能な状況
her own business	彼女自身のビジネス|彼女自身の事業
running around like a headless chicken	バタバタしている|バタバタと忙しい
the show	注目を集めること|人々の注目を集めること
food for thought	考えさせるもの|考えるヒント
between you and me	私とあなたの間だけで|私たち二人だけの秘密で
take shape	形を成す|形になる
a litter of kittens	NA (This is not an idiomatic expression, but a literal statement. It means that the woman gave birth to multiple kittens, which is not possible for a human being.)
roll with the punches	困難に立ち向かって柔軟に対応する|困難に立ち向かって柔軟に対応することを学ぶ必要がある
To let the cat out of the bag	秘密を漏らす|ひみつをもらす
between a rock and a hard place	二者択一の状況にある|二つの選択肢の間で苦しんでいる
knocking on wood	木をたたくように膝が震えていた|幸運を祈って木をたたいていた
your chickens before they're hatched	先走って喜ぶな|先走って喜ぶな、卵を数えるな
nipped it in the bud	問題を早期解決する|問題を未然に防ぐ
spilled milk	過ぎたことに泣いても仕方がない|過ぎたことに泣いても仕方がない
ins and outs	細かいことまで知っている|詳細を知っている
pick up the ball and run with it	いつでも再開できる|いつでも再開できるのは真の友情の証です
put your best foot forward	最善を尽くす|さいぜんをつくす
Burning bridges	人間関係を断つこと|人間関係を切ること
beg, borrow or steal	必死になって手に入れる|ひったくって手に入れる
let the chips fall where they may	どうなるかわからないけど、やってみるしかない|やってみて、結果を受け入れる
walking the talk	言葉だけでなく、実際に行動する|言葉だけではなく、実際に行動することが大切である
break the ice	会話を始める|会話を切り出す
put our best foot forward	最善を尽くす|さいぜんをつくす
play it by ear	その場の状況に応じて判断する|その場の状況に応じて対応する
bee in his bonnet	頭に血が上っている|頭に固定観念がある
separating the wheat from the chaff	優秀な人材を選別する|優秀な人材を選び出す
putting money aside for a rainy day	将来のためにお金を貯める|将来のために貯金する
call it a day	今日は終わりにしましょう|今日はやめましょう
on cloud nine	とても幸せである|とても嬉しい
spice things up	味を引き立てる|味を濃くする
at home	落ち着いている|落ち着いている感じがする
seize the day	今日を大切にする|今日を大事にする
nodding off	居眠りする|いびきをかく
like a duck to water	新しい町に引っ越した時、彼女は場違いな感じがしたが、今ではすっかり慣れた。|場違いな感じがしたが、今ではすっかり慣れた。
hit the books	一生懸命勉強する|いっしょうけんめいべんきょうする
bounce back	立ち直る|たちなおる
building castles in the air	空想にふけっている|空想に耽っている
fighting chance	勝つ可能性がある|勝つための可能性があるチャンス
my back	私を支えてくれる|私を守ってくれる
coming up roses	うまくいっている|順調に進んでいる
golden touch	金のタッチ|金色のタッチ
hit the ground running	すぐに仕事に取り掛かる|すぐに仕事を始める
cut to the chase	本題に入りましょう|ほんだいにはいりましょう
stranger than fiction	現実は小説よりも奇妙である|現実はフィクションよりも奇妙である
keep an eye on them	見張る|みはる
digs in her heels	頑固になる|がんこになる
let out a sigh of relief	ほっとしたため息をつく|ほっとしたため息をつく
down the drain	だめになる|だめになってしまう|破滅する
cost an arm and a leg	とても高くつく|とても高額になる
bend over backwards	最善を尽くす|さいぜんをつくす
sit well with me	気に入らない|気に触る
In a nutshell	要するに|ようするに
green around the gills	具合が悪そうである|具合が悪そうな
chip on his shoulder	自分に対する傲慢な態度|自分に対する過剰な自信
keep your chin up	困難な時でも前向きに振る舞ってください|困難な時でも前向きに考えてください
dropped the ball	仕事を怠った|仕事をサボった
put all his eggs in one basket	一つのことに全力を注ぐ|一つのことに賭ける
see eye to eye	意見が一致する|意見が合う
right up my alley	私にとってぴったりだ|私にとって合っている
beating a dead horse	同じことを繰り返しても意味がない|同じことを繰り返しても進歩がない
have a cow	ひどく怒る|ひどく腹を立てる
threw in the towel	諦める|あきらめる
lean on her	彼女に頼ることができる|彼女に依存することができる
hammer out	解決策を練り上げる|解決策を打ち出す
to go the extra mile	最大限の努力をする|さいだいげんのどりょくをする
stolen her thunder	彼女は自分のアイデアを盗まれたと知って、当然のことながら憤慨し、自分の存在感を奪われたと感じた。|彼女は自分のアイデアを盗まれたと知って、当然のことながら憤慨し、自分の輝きを
caught between a rock and a hard place	窮地に陥っている|きゅうちにおちいっている
fallen flat	失敗に終わる|しっぱいにおわる
to bite off more than I can chew	自分には手に負えないほどのことを引き受ける|自分には手に負えないほどのことを引き受ける
up in the air	未定である|未確定である|不透明である
up in smoke	だめになる|だめになってしまう|台無しになる
dead in the water	進展がない|進展しない|行き詰まっている
sink in	理解する|わかるようになる
to hit the hay	寝る時間です|寝る時間になった
running around like a chicken with its head cut off	何かを取り乱している|何かを取り乱す
behind the eight ball	手遅れになってしまった|手遅れになってしまった状況にある
in a rut	マンネリに陥っている|マンネリになっている
to butter me up	お世辞を言う|おせじを言う
the ground running	すぐに仕事に取り掛かる|すぐに行動を開始する
the whole nine yards	全力でやる|ぜんりょくでやる
a clean slate	新しい出発|あらたな出発
put the cart before the horse	物事の順序を間違える|物事の順序を逆にする
the box	定石|既成概念
bite off more than I can chew	自分には手に負えないことを引き受ける|自分には手に負えないことをやろうとする
her pride	彼女は自尊心を抑えて|彼女は自尊心を飲み込んで
in no time	すぐに|直ぐに|すぐに終わる
keep our eyes peeled	注意して見ている|注意深く見ている
to wrap his head around	理解する|りかいする
early bird catches the worm	早起きは三文の徳|はやおきはさんもんのとく
put their nose to the grindstone	一生懸命働く|いっしょうけんめいはたらく
to cut to the chase	本題に入る|ほんだいにはいる
whole new ballgame	全く新しい状況|全く新しい局面
to pull your leg	からかう|冗談を言う
to keep their chin up	前向きに考え続ける|前向きに振る舞う
take the backseat	手を引く|手を引かなければならない
strike while the iron is hot	好機を逃さずに行動する|こうきをのがさずにこうどうする
breathe easy	安心する|あんしんする
a spoonful of sugar	甘い言葉|甘いもの
in the red	赤字である|あぶない状態である
feel under the weather	気分が優れない|きぶんがすぐれない
hits the nail on the head	的を射る|まさにその通りを言う
of leeway	自由度が高い|じゆうどがたかい
in due course	適切な時に|適時に
spill the beans	秘密を漏らす|ひみつをもらす
Bite the bullet	我慢して決断する|我慢して決める
keep their eyes peeled	注意して探してください|注意して見てください
put our noses to the grindstone	一生懸命働く|いっしょうけんめいはたらく
turn the tables	形勢を逆転する|状況を覆す
fall through	計画が失敗する|計画が破綻する
keep the ball rolling	仕事を進める|仕事を進め続ける
let the cat out of the bag	秘密を漏らす|ひみつをもらす
hang in there	踏ん張ってください|踏ん張る
a blur	何が起こったかよく覚えていない|何が起こったかがぼんやりしている
pull the wool over people's eyes	人をだます|人を欺く
dropping the ball	ミスをする|ミスを犯す
pull himself together	気を取り直す|きをとりなおす
rat race	競争社会|きょうそうしゃかい
to hit the ground running	すぐに始める|すぐに行動を起こす
spot on	的を射た|まさにその通り
stringing her along	彼女をあてにしないでいる|彼女をだます
a cash cow	大儲けするもの|大儲けするビジネス
traffic jam	渋滞|じゅうたい
went the whole nine yards	全力で取り組む|ぜんりょくでとりくむ
let sleeping dogs lie	何もしない方がいい|何も手をつけない方がいい
dot our i's and cross our t's	細かいところまで気を配る|細かいところまで気をつける
paint the town red	夜遊びをする|夜遊びを楽しむ
pulled myself up by my bootstraps	自分で自分を奮い立たせた|自分で自分を鼓舞した
bail out	逃げ出す|逃げる
point him in the right direction	正しい方向を指し示す|ただしい方向を教える
to keep a stiff upper lip	がまんする|我慢する
sleep on it	一晩考える|一晩寝かせる
fish out of water	場違いな感じがした|場違いな感じがした
a laugh riot	大笑いの種になるもの|大笑いを誘うもの
make or break	成功か失敗かの分かれ目|成功か失敗かの大事な局面
let off steam	ストレスを発散する|ストレスを解消する
click with you	理解できるようになる|理解できるようになるまで勉強すれば大丈夫
slow as molasses	とても遅い|非常に遅い
flat as a pancake	全くうまくいかなかった|全くうまくいかなかった
calls the shots	指揮権を握る|指揮をとる
talk the hind legs off a donkey	とてもおしゃべりである|とても話がうまい
fly off the handle	激怒する|げきどする
throw in the towel	諦める|あきらめる
bite your tongue	黙って我慢する|黙って耐える
to get a foot in the door	足を踏み入れる|足を踏み込む
let their hair down	気を楽にする|気を楽にして楽しむ
have a chip on her shoulder	自分に対する不満や怒りを持っている|自分に対する不満や怒りを抱いている
to keep their heads above water	困難に直面しても、立ち向かっていく|困難に直面しても、なんとかやっていく
beating around the bush	遠回しに言う|遠まわしに言う
to keep my chin up	前向きに考える|前向きでいる
started to butt heads	意見が合わなくなる|意見が対立する
to move the goalposts	目標を変える|目標を移動する
let bygones be bygones	過去のことは水に流す|過去のことは忘れる
keep all her ducks in a row	全てをきちんと整理している|全てをきちんと整頓している
laugh his head off	大笑いする|おおわらいする
jump out of her skin	彼女はとても我慢できないので、数分待つだけでもイライラしてしまう|彼女はとても我慢できないので、数分待つだけでも我慢できないほど焦ってしまう
at a snail's pace	カタツムリのように遅い|カタツムリのように進まない
come out of his shell	自信を持つようになる|自信をつけるようになる
get one's act together	準備を整える|準備を整う
as cool as a cucumber	落ち着いている|おだやかである
a wild-goose chase	無駄な追求|むだなついきゅう
keep the wolf from the door	食い詰めないようにする|食い詰めないようにしている
she has ants in her pants	落ち着きがない|おちつきがない
putting all their eggs in one basket	一つのことに全てを賭ける|一つのことにすべてをかける
get a foot in the door	口を出す|くちをだす
burn the midnight oil	夜更かしをする|夜遅くまで働く
feather in her cap	彼女の最新のアイデアはかなり危険ですが、すべてがうまくいけば、彼女にとって大きな成功になるでしょう。|彼女の栄誉になるもの
turn over a new leaf	新しい生活を始める|新しい方向に進む
have his cake and eat it too	二兎を追う者は一兎をも得ず|にとりを追う者は一羽も得ず
weight off her shoulders	気が楽になった|気が楽になった感じがした
better than a poke in the eye with a sharp stick	まだマシだ|まだいい方だ
ballpark figure	おおよその数字|大体の数字
all your eggs in one basket	一つのことに全てを賭ける|一つのことに全てをかける
actions speak louder than words	言葉よりも行動が大事だ|言葉よりも行動が重要だ
with a pinch of salt	疑って受け止める|疑って受け止めて改善する
tied to the apron strings	お母さんにべったりしている|お母さんにべったりしている
off the top of his head	即興で|そっちょくで
knock on wood	木を叩いて災いを防ぐ|きをたたいてわざわいをふせぐ
music to my ears	耳に心地よい|耳心地がいい
in hot water	困難な状況に陥る|困難な状況になる
couch potato	テレビばかり見ている人|テレビ漬けの人
went their separate ways	それぞれ別の方向に向かって去った|それぞれ別の方向に向かって進んだ
to look on the bright side	前向きに考える|まえむきにかんがえる
to keep my head above water	状況に打ち勝つ|じょうきょうにうちかつ
her bridges	今後の可能性を断ち切る|可能性を失う
burning a hole in my pocket	財布の中で燃えているような感じがする|財布の中で燃えているような感じがする
set in his ways	自分のやり方にこだわっている|じぶんのやり方にこだわっている
to play fast and loose	法律や規則を無視する傾向がある|法律や規則を軽んじる傾向がある
to throw in the towel	諦める|あきらめる
cold shoulder	無視する|むしする
big fish in a small pond	地に足のついた人|地位が低い場所で偉そうな人
burning the midnight oil	夜更かしをする|夜遅くまで働く
damp squib	期待外れ|きたいがいれ
keep my chin up	前向きに考える|前向きに振る舞う
take the rap	責任を取る|せきにんをとる
getting the hang of it	慣れてきている|慣れ始めている
in over my head	自分には手に負えない|自分にはかなわない
cool head	冷静な判断力|れいせいなはんだんりょく
life of the party	パーティーの主役|パーティーの盛り上げ役
noses to the grindstone	一生懸命働く|いっしょうけんめいはたらく
bigger picture	全体像|ぜんたいぞう
get on the same page	意見を合わせる|意見を共有する
off the cuff	即興で|そっけなく
her all	全力を尽くした|ぜんりょくをつくした
to sweeten the pot	魅力を高めるために何かを追加する|魅力を高めるために何かをプラスする
bought hook, line and sinker	騙されそうになった|だまされそうになった
to go the distance	最後までやり遂げる|さいごまでやりとげる
to treat yourself	自分を甘やかす|じぶんをあまやかす
spinning our wheels	手詰まりになっている|進展がない
silver lining	希望がある|希望がある兆し
to hit the nail on the head	的を射る|まさにその通りを言う
with a chip on her shoulder	自分に対する不満や怒りを持っている|自分に対する不満や怒りを抱いている
with a grain of salt	疑って受け止める|疑って受け流す
to play devil's advocate	反対意見を唱える|反対意見を言う
a social butterfly	社交的な人|社交的な蝶々
the benefit of the doubt	疑いを持たずに信じること|疑いを持たずに信じる余地を与えること
a bitter pill to swallow	つらい現実を受け入れる|つらい現実を受け入れるのは辛い
a fish out of water	場違いな感じがした|場違いな感じがした
sell it like hotcakes	簡単に売れるように宣伝する|簡単に売れるように宣伝する
pull out all the stops	全力を尽くす|ぜんりょくをつくす
all hat, no cattle	大言壮語するが実際には何もできない|大言壮語するが実際には何もできない
to pass up	見逃すわけにはいかない|見逃せない
to stay ahead of the game	競争相手よりも優位に立つために|競争相手よりも先を行くために
to turn over a new leaf	新しい生活を始める|あたらしい生活をはじめる
drop in the bucket	取るに足りないもの|とるにたりないもの
sticker shock	値段に驚くこと|ねだんにおどろくこと
take a rain check	また後で予定を変更する|また後で会う約束をする
has her ducks in a row	計画的である|計画を立てている
jump on the bandwagon	流行に乗る|りゅうこうにのる
cross the finish line	ゴールに到達する|ゴールに辿り着く
butterflies in his stomach	緊張している|きんちょうしている
lick my wounds	傷をなめる|傷を舐める
kill two birds with one stone	一石二鳥を狙っている|いっせきにちょうをねらっている
red herrings	迷惑な情報|迷走の原因となる情報
of the essence	時間が重要である|時間が肝心である
she missed the boat	彼女は遅れてしまった|彼女はチャンスを逃した
the bush	回りくどい言い方をする|回りくどく言う
a fly in the ointment	問題がある|問題があるかもしれない
you're tilting at windmills	あきらめた方がいい|あきらめた方がよい
keep an eye on him	彼を注意深く見守ります|彼に目を光らせます
moving the goalposts	目標を変える|目標を移動させる
playing both sides	両面についている|両面に立っている
robbing Peter to pay Paul	一時しのぎをするために将来の問題を引き起こす|将来の問題を引き起こすために現在の問題を解決する
cold feet	不安になる|不安に感じる
up the creek without a paddle	手持ち無沙汰で困っている|手持ち無沙汰で困っている（「up the creek」は「困難な状況にある」という意味で、「without a paddle」は「手段を持たない」という意味です）
silver spoon in her mouth	彼女は生まれながらにして恵まれている|彼女は生まれつき運が良い
hitting the hay	寝る|ねる
the real McCoy	本物の|ほんものの
stirring the pot	諍いを起こす|諍いを引き起こす
take the bull by the horns	問題に立ち向かう|問題に正面から立ち向かう
live it up	豪遊する|ごうゆうする
back in the saddle	再び立ち上がる|再び立ち上がって新しい挑戦に取り組む準備ができている
jump ship	退職する|たいしょくする
play my cards right	うまくやる|うまくやり遂げる
pushing the envelope	限界を押し広げる|限界を超える
get off her high horse	自分勝手な態度をやめる|自分勝手な態度を改める
cut corners	手を抜く|てをぬく
put your nose to the grindstone	一生懸命勉強する|一生懸命努力する
flies off the handle	激怒する|げきどする
go back to square one	最初からやり直す必要がある|最初に戻る必要がある
hit rock bottom	最低限度に達する|最底辺に達する
point me in the right direction	正しい方向に導いてくれる|正しい方向を指示してくれる
the name of the game	仕事の一部である|仕事のルールである
rocket science	難しいこと|困難なこと
hold my horses	落ち着いて待つ|おちついてまつ
in the dark	分からない|わからない
go the extra mile	一生懸命やる|精一杯やる
kick the bucket	死ぬ|しぬ
burn that bridge when we come to it	その時になってから考えます|その時になってから決めます
brick wall	行き詰まり|進めない壁
chicken out	臆病になる|おくびょうになる
have butterflies in his stomach	緊張する|きんちょうする
a chip on my shoulder	自慢したい気持ちがある|自慢したい気持ちがある
laugh their head off	大笑いする|おおわらいする
all hands on deck	全員出動|ぜんいんしゅつどう
under wraps	秘密にしておいてください|ひみつにしておいてください
to beat around the bush	遠回しに話す|遠まわしに話す
wet behind the ears	経験が浅い|けいけんがあさい
in order	整理されている|整然としている
nip it in the bud	今すぐ手を打った方がいいです|今すぐ手を打つ方がいいです
took the plunge	大胆な行動をとる|大胆な決断をする
bring home the bacon	会社の新しいCEOは、成功をもたらすと約束しました。|会社の新しいCEOは、成功をもたらすと言っています。
big break	大チャンス|おおちゃんす
out of the blue	突然|とつぜん
blank out	頭が真っ白になる|頭が真っ白になってしまう
feeling under the weather	気分がすぐれない|調子が悪い
sit on her hands	何もしないでいる|何も手をつけないでいる
went out the window	消えてしまった|消えた
feeling jittery	神経質に感じる|神経質になる
by the wayside	失敗する|失敗する可能性がある
get away from it all	全てから離れて休む|すべてから離れて自分を見つめるために旅行する
cash cow	黄金の卵を産む鶏|黄金の卵を産む牛
off the charts	グラフから外れている|想定を超えている
to heart	真に受けないでください|まにうけないでください
flash in the pan	一過性のもの|一瞬の輝き
dogged determination	不屈の決意|ふくつのけつい
meeting of the minds	意見の一致|いけんのいっち
burn any bridges	後で困らないように関係を悪くしないようにする|後で困らないように関係を壊さないようにする
bite my tongue	黙って我慢する|黙って我慢する
to break the ice	打ち解ける|うちとける
to clean house	改革する|かいかくする
to call it a day	やめることにした|やめる
walking on eggshells	彼女に気を遣っている|気を使っている
fair weather	晴天|せいてん
to get our foot in the door	足を踏み入れる|足を踏み入れることができるようになる
count her chickens before they hatched	先走って喜ぶ|先走って喜ぶな
Burning the midnight oil	夜更かしをする|夜更けまで働く
keep your head above water	生き残るために必要なことをやり遂げる|やり遂げるために必要なことをやり遂げる
put two and two together	状況から推測する|状況から結論を導く
black and white	単純な|単純化された|白黒二分された
missed the boat	遅すぎる|遅れてしまった
fast learner	物覚えがいい|ものおぼえがいい
let it all hang out	全てをさらけ出す|すべてをさらけ出す
walk the walk	言葉だけでなく、実際に行動する|言葉だけでなく、実際に行動することが大切です
your foot in the door	扉の一歩手前まで来る|扉の一歩手前まで来ることができる
get our ducks in a row	計画を始める前に準備を整える|準備を整える
to have her cake and eat it too	二兎を追う者は一兎をも得ず|にとりを追う者はにとりを得ず
have bigger fish to fry	より大きな問題が発生する|より深刻な問題が発生する
let my hair down	気を楽にする|気を抜く
has a heart of gold	金の心を持っている|優しい心を持っている
put my two cents in	自分の意見を言う|じぶんのいけんをいう
the pedal to the metal	全力で進める|全力疾走する
spilling the beans	秘密を漏らす|ひみつをもらす
outside the box	型にはまらない|型にはまった考え方をしない
a thorn in my side	仕事で私の邪魔をする存在|仕事で私の足を引っ張る存在
making waves	注目を集めている|話題になっている
lame duck	無能な人|能力不足者
all mouth and no trousers	口だけ番長|くちだけばんちょう
practice makes perfect	練習あるのみ|れんしゅうあるのみ
brownie points	お世辞を言う|お世辞を言うことで好感を持たせる
a can of worms	問題が次々と発生すること|問題が次々と発生する可能性があること
deer caught in headlights	目が点になる|目が点になってしまう
more harm than good	逆効果になる|ぎゃくこうかになる
the bag	NA
a stiff upper lip	感情を表に出さずに我慢する|感情を表に出さずに耐える
blew her top	激怒する|げきどする
to tighten our belts	節約する|せつやくする
to stay above water	やりくりする|やりくりしている
finger-licking good	指を舐めたくなるほど美味しい|指をなめたくなるほどおいしい
to face the music	現実を受け止める|現実に向き合う
to fit a square peg into a round hole	四角いくぎを丸い穴にはめる|四角いくぎを丸い穴にはめ込む
be a breath of fresh air	新鮮な風をもたらす|新しい風を吹き込む
get back on the horse	再開する|再開する (to resume)
to be ahead of the curve	最先端である|さいせんたんである
to bark up the wrong tree	間違った方向に努力する|間違った方向にエネルギーを注ぐ
made the cut	合格する|ごうかくする
to bring home the bacon	成功する|成功を収める
To make a long story short	要するに|ようするに
lean on	頼る|たよる
rock the boat	問題を起こす|もめ事を起こす
shoulder to cry on	泣き言を聞いてくれる人|泣き言を聞いてくれる肩
kill them with kindness	優しさで敵を打ち負かす|やさしさで敵を倒す
at a low ebb	気分が沈んでいる|やる気が低下している
on the ball	能力が高い|能力が優れている|優秀である
pull it off	うまくやり遂げる|うまくこなす
perseverance pays off	根気よく努力すれば報われる|根気よく努力すると報われる
land on his feet	どんなことがあってもうまくやっていける|どんなことがあってもうまくやり過ごす
take your eye off the ball	目的から目をそらす|目標から目を離す
cutting the mustard	成果を出している|成果を上げている
feel the burn	疲れを感じる|つかれをかんじる
grin from ear to ear	耳から耳まで笑顔になる|耳がはえるほど笑顔になる
cup of tea	好みのもの|好きなこと
pat on the back	励ましの言葉をかける|励ます
peaches and cream	すべてがうまくいっている|すべてが順調である
on edge	緊張する|きんちょうする
pinch of salt	少しの改善|少しの手直し
close to his chest	秘密を守る|ひみつをまもる
cutting it too thin	間に合わなくなる|まにあわなくなる
midnight oil	深夜まで働く|深夜まで勉強する
guts and grit	勇気と根性|勇気と粘り強さ
moving full steam ahead	全力で進んでいる|全速力で進んでいる
play both sides	両面につく|りょうめんにつく
stay put	じっとしていること|じっとしている方がいい
Biting the bullet	我慢する|我慢してやり遂げる
you can't have your cake and eat it too	二兎を追う者は一兎をも得ず|一つのことを選ばなければ、両方を手に入れることはできない
pulling my leg	冗談を言う|じょうだんをいう
pulled the rug out from under me	私の足をすくわれたようだ|私の足をすくわれた感じがした
Barking up the wrong tree	的外れな方向に向かっている|的外れなことをしている
budge an inch	少しでも動こうとしない|少しでも譲らない
running on fumes	エネルギーが切れかけている|エネルギーが底をついている
off the wall	とんでもない|ナンセンスな
raining on our parade	台無しにする|台無しにされる
playing with fire	火に遊ぶ|火遊びをする
hunker down	身を守って待機する|身を守ってしまう
cross that bridge when I come to it	その時になってから考えます|その時になってから対処します
the good fight	良い仕事を続けてください|頑張ってください
take the plunge	決心する|決断する
the blues	憂鬱な気分|ザ・ブルース
turn things around	状況を好転させる|状況を打開する
be there for her	彼女を支える|彼女のそばにいる
sweep them under the rug	自分の問題を放置する|自分の問題を見ないふりする
cooking the books	帳簿をごまかす|帳簿を操作する
broke the ice	打ち解けさせる|うちとけさせる
the real deal	本物の|ほんものの
take a load off	一休みする|休憩する
a bunch of baloney	でたらめ|でたらめなこと
thin ice	危険な状況|きけんなじょうきょう (dangerous situation)
batting an eye	瞬きをしないで|瞬きもせずに
chickens out	臆病になる|おくびょうになる
burn bridges	後戻りできないようにする|後戻りできないようにすることを決める
keep our ducks in a row	計画をしっかり立てる|計画をしっかり立てる必要がある
behind closed doors	非公開で|ひこうきで
pull the wool over my eyes	私をだますつもりだったが、私は彼の写真から彼を認識した|騙す
throwing money down the drain	無駄遣いする|むだづかいする
come back to bite him	彼の行動がいつか彼に報いることになる|彼の行動がいつか彼に仕返しをすることになる
apple pie	とても一般的なもの|非常にポピュラーなもの
cabin fever	閉じこもり病|へいじこもり病
put all our eggs in one basket	一つのことに全てを賭ける|一つのことにすべてをかける
have a bee in his bonnet	何かについて常に不満を持っている|何かについて頭に血が上っている
add up	筋が通っている|すっきりしない
chasing her tail	自分の尻尾を追いかける|じほうを追いかける
beat a dead horse	もう無駄だ|もうやめた方がいい
count your chickens before they hatch	まだ計画の初期段階で、先走って喜ぶのは危険です|先に喜んで計画を練るのは危険です
to kill two birds with one stone	二兎を追う者は一兎をも得ず|一石二鳥
keep his eye on the ball	目的を見失わないようにする|目的を見失わないようにする
cloud nine	とても幸せでした|とても嬉しかった
wrong tree	間違った方向に向かっている|間違ったことをしている
read between the lines	言外の意味を読み取る|言外のニュアンスを理解する
monkey business	いたずら|悪ふざけ
sting in the tail	意外な落とし穴がある|意外な問題がある
landing on his feet	どんなことがあっても、何とかうまくやっていく|どんな状況でも、何とかうまくやっていく
bee in her bonnet	何かに夢中になっている|何かにこだわっている
not the end of the world	世界の終わりではない|せかいのおわりではない
social butterfly	社交的な人|社交家
not his cup of tea	彼はシーフードが好きではない。それは彼の好みではない。
march to the beat of your own drum	自分の道を行く|じぶんのみちをいく
get her feet wet	経験を積ませる|経験を積ませるために時間を与える
stop and smell the roses	ゆっくりと過ごす|ゆっくりとする
step up their game	力を入れてやる|力を入れて頑張る
take it easy	気楽にやる|気楽に過ごす
showed his true colors	本性を現す|本性を表す
bunch of hogwash	でたらめ|たわごと|くだらない言い訳
beauty contest	競争|きょうそう
the bee's knees	最高のもの|最高のものである
keep her head above water	やりくりする|やりくりしている
death warmed over	とても疲れている|とても疲れたように見える
a big fish in a small pond	地に足がついていない|自分に甘い
can stomach	我慢できる|我慢できない
sweating bullets	大量の汗をかく|大量の汗をかくこと
a bee in her bonnet	何かにこだわっている|何かに取り憑かれている
in over his head	手に負えない|てにおえない
lend a hand	手を貸す|てをかすめる
in the bag	確実に手に入れる|確実に手中に収める
has bees in his bonnet	常に何かについて頭に血が上っている|常に何かについて頭に血が上がっている
