times per minute	分あたりの回数 | 分間の回数
kilometers per hour	キロメートル毎時
milliliters	ミリリットル
newtons	ニュートン
newton meter	ニュートンメートル
gram per milliliter	グラム毎ミリリットル
meters per square second	平方秒毎メートル | メートル毎平方秒
Fahrenheit	華氏
seconds	秒
kilotons	キロトン | 千トン
m/s²	メートル毎秒の二乗
horsepower	馬力
million miles	百万マイル
per minute	毎分 (maifun)
Joules	ジュール
km	キロメートル
joules	ジュール
ml	ミリリットル
grams per cubic centimeter	グラム毎立方センチメートル
heartbeat	鼓動 | 心拍
yards	ヤード | 短(たん) | 竿(さお) | 歩(ほ) | 歩幅(ほはば) | 尺(しゃく) | 尺幅(しゃくはば)
pixels per inch	インチあたりのピクセル数
calories per mile	マイルあたりのカロリー
units	単位 (たんい)
cubic feet per second	秒あたり立方フィート
dB	デシベル
weeks	週間
nanoteslas	ナノテスラ
people	人々 | 人類 | 人間 | 人口 | 人数 | 人員 | 人物 | 人士 | 人材 | 人脈 | 人為 | 人類学 | 人類史 | 人類学者 | 人類学的 | 人類学的な | 人類学的に | 人類学
day	日 | 一日 | 日々 | １日
hectopascals	ヘクトパスカル
second	秒
billion kilometers	10億キロメートル | 100億メートル | 十十億メートル | 十億キロメートル
short tons	ショートトン
thousand feet	千フィート
billion years	10億年 | 百億年 | 十^10年 | 100億年 | 一千億年 | 一兆年 | 一京年 | 一垓年 | 一秭年 | 一穣年 | 一溝年 | 一澗年 | 一正年 | 一載年 | 一極年 | 一恒
meter per second squared	メートル毎秒毎秒
nautical miles	海里
cubic feet	立方フィート
megapixels	メガピクセル
revolutions per minute	分あたり回転数 | 分間回転数
pounds per gallon	ガロンあたりポンド
gram per cubic centimeter	グラム毎立方センチメートル
cubic inches	立方インチ
times per day	日あたり | 一日に何回か | 一日あたり何回 | 一日に何度か | 一日に何回 | 一日あたり | 一日に | 日ごとに | 日毎に
megajoules	メガジュール
carats	カラット
square meters	平方メートル
atmospheres	アトモスフィア | 気圧
hertz	ヘルツ
tonnes	トン
British thermal units	ブリティッシュ・サーマル・ユニット
mg	ミリグラム
m/s	メートル毎秒
times	回 | 倍 | 回数 | 倍数 | タイムズ
mile	マイル
kilometers per second	秒速キロメートル | キロメートル毎秒
million Kelvins	百万ケルビン
breaths per minute	分あたりの呼吸数
amperes	アンペア
Nm	ニュートンメートル
dBFS	デシベルフルスケール
spectators	観客 | 観衆 | 観覧者 | 観戦者 | 観賞者
ft	フィート
g/cm³	グラム毎立方センチメートル
kelvin	ケルビン
millibars	ミリバール
Pascal	パスカル
millimeters	ミリメートル
trillion miles	兆マイル
bpm	BPM (ビート・パー・ミニット)
kWh	キロワット時
ly	光年
