6.7 million	六百七十万|670万
3.2 billion	三十二億|3.2億
199.9 billion	一千九百九十九億九千万|1999億9千万
710 million	七億百万|7億1000万
92 million	九千二百万|9200万
97 billion	九十七億|970億
700 million	七億|700百万
60 billion	六十億|60億
250 billion	二千五百億|2500億
193 billion	百九十三億|193億
28.4 trillion	二十八兆四千億|28400億四千億
1.39 million	百三十九万|139万
2.3 billion	二十三億|23億
2.8 million	二百八十万|280万
31 trillion	三十一兆|31兆
26 billion	二十六億|26億
1.39 billion	十三億九千万|13億9千万|一十三億九千万|1十三億9千万
9 million	九百万|900万
35 million	三千五百万|3500万
200 trillion	二百兆|200兆
3.78 billion	三十七億八千万|3.78億|3780万
419 billion	四千百十九億|4190億
260 billion	二千六百億|2600億
1.7 trillion	一兆七千億|1700億
68 billion	六十八億|68億
1,300 trillion	一京三千兆|1300兆
488.3 billion	四千八百八十三億|4883億
522 billion	五千二百二十億|5220億
4.79 trillion	四兆七千九百億|4790億
522 million	五億二千二百万|522百万
179 billion	百七十九億|179億
22 trillion	二十二兆|22兆
12.6 billion	百二十六億|126億
2.799 million	二百九十九万|299万
11 million	千一百万|1100万
110 billion	千百億|110億
43 billion	四十三億|43億
13.1 million	一千三百十万|1310万
266.4 billion	二千六百六十四億|2664億
15 trillion	一兆五千億|十五兆|15000億
570 million	五億七千万|570000000
4000 billion	四兆|4000億
140 million	一億四千万|1億4000万
41.7 billion	四百十七億|417億七千万|4.17×10¹⁰
1.2 trillion	一兆二千億|1200億億
197 billion	一千九百七十億|1970億
145 million	一億四千五百万|1億4500万
101 million	一億一|1億1
2.6 trillion	二兆六千億|2600億
23.3 billion	二百三十三億|23.3億
2.7 million	二百七十万|270万
77.2 billion	七百七十二億|772億
21.4 trillion	二十一兆四千億|21400億四千万
21.5 billion	二百十五億|215億|二十一億五千万|2.15×10^10
6 billion	六十億|60億
32 million	三千二百万|3200万
640 billion	六百四十億|640億
75 million	七千五百万|7500万
834 billion	八百三十四億|834億
37.2 trillion	三十七兆二百億|37200億三千二百万
1.35 million	百三十五万|135万
5.25 trillion	五兆二千五百億|5兆2500億
3.5 billion	三十五億|3.5億
1.4 million	百四十万|140万
204 billion	二百四億|204億
575 million	五億七千五百万|575000000
4.75 billion	四十七億五千万|4.75億
756 billion	七百五十六億|756億
195 billion	百九十五億|195億
1.33 billion	十三億三千万|13億3千万
142 billion	百四十二億|142億
196 billion	一千九百六十億|1960億
229 million	二億二千九百万|2億2,900万
39.7 billion	三百九十七億|397億
647 billion	六百四十七億|647億
870 billion	八千七百億|8700億
152.1 billion	千五百二十一億|1521億
395.5 billion	三千九百五十五億五千万|3955億5000万
