down in the dumps	deprimiert|niedergeschlagen|traurig|bedrückt|frustriert
not my cup of tea	nicht mein Ding|nicht meine Stärke|nicht meine Vorliebe|nicht mein Fall|nicht meine Welt
to bite the bullet	sich zusammenreißen|sich durchbeißen|etwas Unangenehmes auf sich nehmen|sich etwas antun|etwas durchstehen müssen
the ball rolling	etwas in Gang bringen|etwas in Bewegung setzen|den Anfang machen|den Startschuss geben
a piece of cake	ein Kinderspiel|sehr einfach|sehr leicht|kein Problem|NA
his word	sein Wort|seine Versprechen|seine Zusagen
her cool	ihre Ruhe bewahren|sich nicht aus der Fassung bringen lassen|gelassen bleiben|sich beherrschen
plan A	Plan A refers to the primary or preferred course of action or strategy.
making a mountain out of a molehill	aus einer Mücke einen Elefanten machen|eine Kleinigkeit aufbauschen|eine Lappalie dramatisieren|eine Nebensächlichkeit überbewerten
skeletons in his closet	Geheimnisse haben|Dinge verbergen, die niemand wissen soll|ein dunkles Geheimnis haben|ein Skelett im Schrank haben
hit the nail on the head	den Nagel auf den Kopf treffen|etwas genau richtig machen|etwas perfekt machen|etwas genau passend machen
bigger fish to fry	wichtigere Dinge zu tun haben|größere Probleme haben|sich um wichtigere Angelegenheiten kümmern müssen
it takes two to tango	Es gehören immer zwei dazu|Es braucht immer zwei zum Tanzen|Es sind immer zwei beteiligt
hit the hay	sich ausruhen|sich entspannen|ins Bett gehen|schlafen gehen
bats in his belfry	verrückt sein|nicht ganz bei Sinnen sein|einen Vogel haben|nicht ganz dicht sein|nicht alle Tassen im Schrank haben
hot under the collar	sich aufregen|sich ärgern|wütend sein|sich erhitzen|sich auf die Palme bringen lassen
smoke and mirrors	Täuschung|Blendwerk|Illusionen|Tricks|Schein
a chip on his shoulder	sich benachteiligt fühlen|sich ungerecht behandelt fühlen|sich provoziert fühlen|sich angegriffen fühlen
the icing on the cake	etwas, das eine ohnehin schon gute Sache noch besser macht|das Tüpfelchen auf dem i|das Sahnehäubchen auf dem Kuchen
a chip off the old block	ein Sprössling des alten Stammes|ein Abbild seines Vorgängers|ein Ebenbild seines Vorgängers|ein Kind seiner Eltern|ein Kind des alten Stammes
break a leg	viel Glück|alles Gute|viel Erfolg|du schaffst das|Sie schaffen das
tighten our belts	den Gürtel enger schnallen|sparen müssen|sich einschränken müssen|weniger Geld ausgeben können
barking up the wrong tree	falsch liegen|auf dem Holzweg sein|sich irren|einen Fehler machen
stick to her guns	an seinen Prinzipien festhalten|bei seiner Meinung bleiben|sich nicht beirren lassen|sich nicht umstimmen lassen
his heart set on	sich auf etwas festgelegt haben|sein Herz an etwas hängen|sich auf etwas eingeschossen haben
an uphill battle	ein harter Kampf|eine schwierige Aufgabe|eine Herausforderung|ein steiniger Weg
in over her head	überfordert sein|sich über den Kopf wachsen lassen|nicht mehr Herr der Lage sein|sich in etwas verrennen
with words	mit Worten|durch seine Wortwahl|durch seine Sprache
circumstances beyond our control	NA (This is not an idiomatic expression, it is a common phrase used to explain that the situation is out of our hands and we cannot do anything about it.)
her own business	ihr eigenes Geschäft|ihre eigene Firma|selbstständig werden|ein Unternehmen gründen
running around like a headless chicken	wie ein aufgescheuchtes Huhn herumlaufen|wie ein Huhn ohne Kopf herumlaufen|hektisch umherlaufen|verwirrt umherlaufen
the show	die Show|die Aufmerksamkeit auf sich ziehen|im Mittelpunkt stehen|die Hauptrolle spielen
food for thought	Denkanstoß|Anregung|Idee|Inspiration
between you and me	unter uns|vertraulich|nicht weitererzählen|nicht für die Öffentlichkeit bestimmt
take shape	Gestalt annehmen|Form annehmen|sich konkretisieren|sich abzeichnen
a litter of kittens	NA
roll with the punches	sich anpassen können|mit Rückschlägen umgehen können|flexibel bleiben|sich nicht unterkriegen lassen
To let the cat out of the bag	ein Geheimnis ausplaudern|etwas verraten, was geheim bleiben sollte|die Katze aus dem Sack lassen
between a rock and a hard place	in der Zwickmühle sein|zwischen zwei Stühlen sitzen|vor einem Dilemma stehen
knocking on wood	NA
your chickens before they're hatched	etwas als sicher annehmen, bevor es wirklich passiert ist|sich zu früh freuen|vorzeitig jubeln
nipped it in the bud	etwas im Keim ersticken|etwas frühzeitig beenden|etwas verhindern, bevor es schlimmer wird
spilled milk	vergangene Dinge|das Kind ist in den Brunnen gefallen|das ist Schnee von gestern|das ist nicht mehr zu ändern
ins and outs	alle Einzelheiten|alle Feinheiten|alle Details|alle Kniffe|alle Tricks
pick up the ball and run with it	weitermachen, wo man aufgehört hat|den Faden wieder aufnehmen|sich nahtlos wieder einfügen|sich sofort wieder zurechtfinden
put your best foot forward	sich von der besten Seite zeigen|sich von der Schokoladenseite präsentieren|einen guten Eindruck machen|sich von seiner besten Seite zeigen
Burning bridges	Brücken abbrechen|alle Brücken hinter sich abbrechen|sich selbst ins Aus schießen|sich selbst ins Knie schießen
beg, borrow or steal	etwas erbetteln, borgen oder stehlen müssen|etwas auf unehrliche Weise beschaffen müssen|etwas auf illegale Weise beschaffen müssen
let the chips fall where they may	alles auf eine Karte setzen|das Schicksal seinen Lauf nehmen lassen|es darauf ankommen lassen|die Dinge ihren Lauf nehmen lassen
walking the talk	den Worten Taten folgen lassen|seine Versprechen einhalten|seine Ankündigungen umsetzen|seine Versprechen in die Tat umsetzen
break the ice	das Eis brechen|das Schweigen brechen|den Anfang machen|das Gespräch beginnen
put our best foot forward	sich von der besten Seite zeigen|sein Bestes geben|sich ins Zeug legen|sich anstrengen|sich bemühen
play it by ear	etwas improvisieren|etwas spontan entscheiden|etwas flexibel handhaben
bee in his bonnet	fixe Idee|fixation|Wahnvorstellung|Besessenheit|fixiert auf etwas sein
separating the wheat from the chaff	die Spreu vom Weizen trennen
putting money aside for a rainy day	für schlechte Zeiten vorsorgen|für Notfälle sparen|für unvorhergesehene Ausgaben sparen
call it a day	für heute Schluss machen|den Tag beenden|aufhören für heute|fertig sein für heute
on cloud nine	im siebten Himmel sein|überglücklich sein|sehr glücklich sein|sich wie im Paradies fühlen
spice things up	etwas aufpeppen|etwas würzen|etwas interessanter machen|etwas spannender machen
at home	sich wie zu Hause fühlen|sich wohl fühlen|sich geborgen fühlen
seize the day	den Tag nutzen|die Gelegenheit beim Schopf packen|die Chance ergreifen|nicht zögern, sondern handeln
nodding off	einnicken|wegdösen|einschlafen|schlummern|schlafen gehen
like a duck to water	sich wie ein Fisch im Wasser fühlen|sich pudelwohl fühlen|sich wie zu Hause fühlen
hit the books	sich ins Studium stürzen|sich ins Lernen stürzen|sich ins Büffeln stürzen|sich ins Pauken stürzen
bounce back	sich erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder erholen|sich wieder
building castles in the air	Luftschlösser bauen|Träumereien haben|unrealistische Pläne schmieden
fighting chance	kleine Chance|Außenseiterchance|kleine Möglichkeit|kleine Gelegenheit|kleine Hoffnung
my back	jemanden unterstützen|jemandem den Rücken stärken|jemandem beistehen|jemandem helfen|jemandem zur Seite stehen
coming up roses	alles läuft bestens|alles läuft wie am Schnürchen|alles läuft wie geschmiert|alles läuft wie geplant|alles läuft reibungslos
golden touch	eine goldene Stimme haben|ein goldenes Händchen haben|ein besonderes Talent haben|etwas besonders gut können
hit the ground running	start working effectively and successfully from the beginning|start with great energy and enthusiasm and make rapid progress
cut to the chase	zur Sache kommen|zum Wesentlichen kommen|zum Punkt kommen|zur Kernfrage übergehen
stranger than fiction	unglaublich|verblüffend|erstaunlich|faszinierend|überraschend
keep an eye on them	aufpassen|beobachten|überwachen|im Auge behalten
digs in her heels	sich stur stellen|sich starrköpfig zeigen|sich unnachgiebig zeigen|sich festbeißen|sich verbeißen|sich festlegen|sich festfahren
let out a sigh of relief	einen Seufzer der Erleichterung ausstoßen
down the drain	verloren sein|vor dem Aus stehen|vor dem Bankrott stehen|vor dem Zusammenbruch stehen
cost an arm and a leg	sehr teuer sein|ein Vermögen kosten|sehr kostspielig sein
bend over backwards	sich sehr anstrengen|sich sehr bemühen|sich ins Zeug legen|sich Mühe geben|sich abrackern
sit well with me	sich gut anfühlen|sich richtig anfühlen|sich stimmig anfühlen|sich passend anfühlen|sich angenehm anfühlen|sich wohl fühlen
In a nutshell	um es kurz zu machen|zusammenfassend|kurz gesagt|in Kürze|in aller Kürze
green around the gills	bleich um die Nase|übel|krank|nervös|unsicher
chip on his shoulder	sich ständig angegriffen fühlen|sich ständig provoziert fühlen|sich ständig benachteiligt fühlen
keep your chin up	den Kopf hochhalten|nicht aufgeben|sich nicht unterkriegen lassen|durchhalten|durchbeißen
dropped the ball	versagt|einen Fehler machen|einen Fehler begehen|eine Aufgabe nicht erfüllen|eine Aufgabe vernachlässigen
put all his eggs in one basket	alles auf eine Karte setzen|alles auf ein Pferd setzen|alles auf eine Möglichkeit setzen
see eye to eye	auf einer Wellenlänge sein|übereinstimmen|einer Meinung sein|gleicher Ansicht sein
right up my alley	etwas liegt mir|etwas ist mein Ding|etwas ist genau mein Fall|etwas ist genau mein Gebiet|etwas ist genau mein Ding
beating a dead horse	etwas vergeblich versuchen|eine Sache unnötig weiterverfolgen|eine tote Sache weiterverfolgen
have a cow	sich aufregen|ausflippen|sich auf den Schlips getreten fühlen|sich tierisch ärgern
threw in the towel	aufgeben|das Handtuch werfen|sich geschlagen geben|kapitulieren
lean on her	sich auf sie verlassen können|sich auf sie stützen können|sich auf sie ausruhen können|sich auf sie vertrauen können
hammer out	eine Lösung ausarbeiten|eine Lösung erarbeiten|eine Lösung mühsam erzielen
to go the extra mile	sich besonders anstrengen|sich besonders bemühen|sich besonders engagieren|sich besonders ins Zeug legen
stolen her thunder	jemandem die Show stehlen|jemandem den Ruhm wegnehmen|jemandem die Idee klauen
caught between a rock and a hard place	in der Klemme stecken|zwischen zwei Stühlen sitzen|vor einer schwierigen Entscheidung stehen|in einer schwierigen Lage sein
fallen flat	gescheitert sein|nicht funktioniert haben|keinen Erfolg gehabt haben|nicht gut angekommen sein
to bite off more than I can chew	sich übernehmen|zu viel auf einmal wollen|sich zu viel zumuten|sich überfordern
up in the air	unsicher|unklar|unvorhersehbar|in der Schwebe|in der Luft|ungewiss
up in smoke	gescheitert|verloren|zunichte gemacht|umsonst|vergeblich
dead in the water	keine Fortschritte machen|scheitern|nicht weiterkommen|stecken bleiben|ins Stocken geraten
sink in	sich setzen|verdauen|einwirken lassen|sich festsetzen
to hit the hay	ins Bett gehen|sich schlafen legen|zu Bett gehen|sich zur Ruhe begeben
running around like a chicken with its head cut off	wie ein aufgescheuchtes Huhn herumlaufen|wie ein kopfloses Huhn herumlaufen|hektisch umherlaufen|planlos umherlaufen
behind the eight ball	in Schwierigkeiten sein|in Verzug sein|in Rückstand sein|unter Druck stehen
in a rut	in einer Sackgasse stecken|in einer festgefahrenen Situation stecken|in einer Routine gefangen sein
to butter me up	mir Honig ums Maul schmieren|sich bei mir einschmeicheln|mir Komplimente machen, um etwas von mir zu bekommen
the ground running	schnell und erfolgreich anfangen|schnell und erfolgreich arbeiten|schnell und erfolgreich Fortschritte machen
the whole nine yards	alles geben|keine halben Sachen machen|bis zum Äußersten gehen|alles tun, was möglich ist
a clean slate	einen Neuanfang machen|einen Schlussstrich ziehen|von vorne anfangen|einen Neustart wagen
put the cart before the horse	etwas in der falschen Reihenfolge tun|etwas vorwegnehmen, bevor es an der Zeit ist|den zweiten Schritt vor dem ersten machen
the box	die gewohnten Denkmuster|eingefahrene Denkweisen|eingeschränkte Sichtweise
bite off more than I can chew	sich übernehmen|sich zu viel zumuten|sich überfordern|sich zu viel vornehmen
her pride	ihr Ego|ihre Selbstachtung|ihre Würde
in no time	im Handumdrehen|sehr schnell|ohne Verzögerung|in kürzester Zeit
keep our eyes peeled	aufmerksam bleiben|wachsam sein|die Augen offen halten|vorsichtig sein
to wrap his head around	etwas begreifen|etwas verstehen|etwas nachvollziehen|etwas erfassen
early bird catches the worm	Der frühe Vogel fängt den Wurm.
put their nose to the grindstone	sich ins Zeug legen|sich anstrengen|sich konzentrieren|sich bemühen|sich Mühe geben|sich ins Schwitzen bringen
to cut to the chase	direkt auf den Punkt kommen|zum Wesentlichen kommen|kein Blatt vor den Mund nehmen
whole new ballgame	etwas völlig Neues|eine ganz neue Herausforderung|ein neues Kapitel
to pull your leg	jemanden auf den Arm nehmen|jemanden veräppeln|jemanden zum Narren halten
to keep their chin up	sich nicht unterkriegen lassen|durchhalten|optimistisch bleiben|nicht aufgeben
take the backseat	sich zurückhalten|sich zurückziehen|sich im Hintergrund halten|sich nicht in den Vordergrund drängen
strike while the iron is hot	die Gelegenheit beim Schopf packen|die Gunst der Stunde nutzen|eine Chance ergreifen, solange sie sich bietet
breathe easy	sich entspannen|aufatmen|sich beruhigen|sich zurücklehnen
a spoonful of sugar	etwas Angenehmes, das eine unangenehme Situation erträglicher macht|etwas Positives, das eine negative Situation verbessert
in the red	im Minus sein|Verluste machen|defizitär sein
feel under the weather	sich schlapp fühlen|sich unwohl fühlen|sich kränklich fühlen|sich nicht wohl fühlen
hits the nail on the head	den Nagel auf den Kopf treffen|ins Schwarze treffen|genau richtig liegen|richtig vorhersagen
of leeway	Spielraum|Freiheit|Spielraum für Kreativität|Freiheit für Kreativität
in due course	zur rechten Zeit|zur gegebenen Zeit|zum richtigen Zeitpunkt|früher oder später|mit der Zeit
spill the beans	ausplaudern|ausposaunen|etwas verraten|ein Geheimnis ausplaudern
Bite the bullet	Sich zusammenreißen|Sich durchbeißen|Sich durchringen|Sich überwinden|Sich etwas abverlangen
keep their eyes peeled	aufmerksam bleiben|wachsam bleiben|die Augen offen halten|Acht geben|vorsichtig sein
put our noses to the grindstone	sich ins Zeug legen|sich an die Arbeit machen|sich anstrengen|sich konzentrieren|sich bemühen|sich reinhängen
turn the tables	die Karten neu mischen|das Blatt wenden|die Situation umdrehen|den Spieß umdrehen
fall through	scheitern|nicht zustande kommen|nicht klappen|nicht funktionieren
keep the ball rolling	den Ball am Rollen halten|den Fortschritt aufrechterhalten|die Dinge in Bewegung halten|den Schwung aufrechterhalten
let the cat out of the bag	ein Geheimnis ausplaudern|etwas ausplaudern|etwas verraten|etwas ausposaunen
hang in there	durchhalten|durchbeißen|durchstehen|durchstehen bis es besser wird
a blur	eine verschwommene Erinnerung|eine verschwommene Vorstellung|eine verschwommene Erinnerung an etwas haben|etwas nicht klar erinnern können
pull the wool over people's eyes	jemanden hinters Licht führen|jemanden täuschen|jemanden betrügen|jemanden an der Nase herumführen
dropping the ball	einen Fehler machen|eine Chance verpassen|eine Gelegenheit verpassen|einen Fehler begehen|eine Aufgabe nicht erfüllen|eine Aufgabe vernachlässigen
pull himself together	sich zusammenreißen|sich sammeln|sich fangen|sich beruhigen|sich wieder unter Kontrolle bringen
rat race	ein Wettlauf, bei dem alle Teilnehmer hart arbeiten, um erfolgreich zu sein, aber nur einer gewinnt|ein Wettlauf, bei dem der Erfolg auf Kosten der Gesundheit und des Wohlbefindens erreicht wird
to hit the ground running	voller Begeisterung angehen|enthusiastisch angehen|hart und erfolgreich arbeiten
spot on	vollkommen richtig|genau richtig|absolut korrekt|voll ins Schwarze treffen
stringing her along	jemanden hinhalten|jemanden vertrösten|jemanden vertrödeln|jemanden auf die lange Bank schieben
a cash cow	eine Goldgrube|eine Gelddruckmaschine|eine lukrative Einnahmequelle|ein lukratives Geschäft
traffic jam	Verkehrsstau|Verkehrsbehinderung|Verkehrskollaps|Verkehrschaos
went the whole nine yards	alles geben|sich voll reinhängen|alles tun, was möglich ist|keine halben Sachen machen
let sleeping dogs lie	Es ist besser, die Dinge unangetastet zu lassen|Es ist besser, die Dinge ruhen zu lassen|Es ist besser, die Dinge so zu lassen, wie sie sind|Es ist besser, nichts zu unternehmen, um eine schlechte Situation nicht noch schlimmer zu machen
dot our i's and cross our t's	alles genau und sorgfältig machen|keine Fehler machen|alles genau prüfen und überprüfen|alles akribisch durchgehen
paint the town red	die Nacht zum Tag machen|feiern gehen|sich amüsieren gehen|die Stadt unsicher machen
pulled myself up by my bootstraps	sich am eigenen Schopf aus dem Sumpf ziehen|sich selbst aus einer schwierigen Situation befreien|sich selbst motivieren und anstrengen, um erfolgreich zu sein
bail out	aussteigen|sich zurückziehen|aufgeben|fliehen|sich aus der Affäre ziehen
point him in the right direction	ihm den richtigen Weg zeigen|ihm helfen, sich zurechtzufinden|ihm helfen, die richtige Entscheidung zu treffen
to keep a stiff upper lip	die Fassung bewahren|sich nichts anmerken lassen|tapfer bleiben|standhaft bleiben
sleep on it	eine Nacht darüber schlafen|sich Bedenkzeit nehmen|eine Entscheidung aufschieben|etwas reifen lassen
fish out of water	sich unwohl fühlen|sich fehl am Platz fühlen|sich wie ein Fisch auf dem Trockenen fühlen
a laugh riot	eine Lachnummer|zum Brüllen komisch|sehr lustig|ein riesiger Spaß
make or break	entscheidend sein|über Erfolg oder Misserfolg entscheiden|alles aufs Spiel setzen|es geht um alles oder nichts
let off steam	Dampf ablassen|sich abreagieren|sich austoben|sich abreagieren
click with you	sich einprägen|verstehen|klar werden|sich einleuchten|sich erschließen
slow as molasses	sehr langsam|sehr träge|sehr zähflüssig|sehr schleppend
flat as a pancake	völlig gescheitert|ohne Erfolg|erfolglos|ohne Ergebnis
calls the shots	das Sagen haben|die Entscheidungen treffen|bestimmen, was passiert
talk the hind legs off a donkey	sehr viel reden|jemandem die Ohren abkauen|jemandem die Ohren vollquatschen|jemandem die Ohren abquatschen|jemandem die Ohren abnudeln
fly off the handle	schnell wütend werden|aus der Haut fahren|sich aufregen|explodieren|schnell reizbar sein
throw in the towel	aufgeben|die Flinte ins Korn werfen|das Handtuch werfen|sich geschlagen geben
bite your tongue	sich auf die Zunge beißen|sich zurückhalten|sich beherrschen|den Mund halten
to get a foot in the door	einen Fuß in die Tür bekommen|einen Einstieg finden|sich einen Platz verschaffen|sich etablieren
let their hair down	sich gehen lassen|sich entspannen|sich amüsieren|sich vergnügen
have a chip on her shoulder	sich immer angegriffen fühlen|sich immer benachteiligt fühlen|sich immer provoziert fühlen|sich immer beleidigt fühlen
to keep their heads above water	sich über Wasser halten|überleben|nicht untergehen|nicht scheitern|nicht aufgeben
beating around the bush	um den heißen Brei herumreden|nicht auf den Punkt kommen|sich in Ausflüchten verlieren
to keep my chin up	nicht den Mut verlieren|sich nicht unterkriegen lassen|durchhalten|optimistisch bleiben
started to butt heads	aneinandergeraten|sich in die Haare kriegen|sich streiten|auseinandergehen
to move the goalposts	to change the rules|to change the criteria|to change the expectations|to change the standards
let bygones be bygones	Vergangenes ruhen lassen|das Alte hinter sich lassen|Gräben zuschütten|einen Schlussstrich ziehen|einen Neuanfang wagen
keep all her ducks in a row	alles im Griff haben|alles unter Kontrolle haben|gut organisiert sein|gut strukturiert sein
laugh his head off	sich kaputtlachen|sich totlachen|sich schlapp lachen|sich kringeln vor Lachen
jump out of her skin	vor Ungeduld platzen|sich nicht mehr im Zaum halten können|sich nicht mehr beherrschen können
at a snail's pace	sehr langsam|im Schneckentempo|mit sehr geringer Geschwindigkeit|sehr schleppend|sehr zäh
come out of his shell	aus sich herauskommen|sich öffnen|sich entfalten|selbstbewusster werden
get one's act together	sich zusammenreißen|sich sammeln|sich konzentrieren|sich organisieren|sich vorbereiten
as cool as a cucumber	so gelassen wie eine Gurke|ruhig und besonnen|sehr entspannt und gelassen|kühl und ruhig
a wild-goose chase	eine Schnitzeljagd|eine sinnlose Suche|eine vergebliche Mühe|eine Zeitverschwendung
keep the wolf from the door	sich über Wasser halten|sich über Wasser halten müssen|finanziell kämpfen müssen|finanziell überleben müssen
she has ants in her pants	Sie kann nicht stillsitzen|Sie ist unruhig|Sie ist hibbelig|Sie ist nervös
putting all their eggs in one basket	alles auf eine Karte setzen|alles auf ein Pferd setzen|alles auf eine Strategie setzen
get a foot in the door	sich in etwas hineindrängen wollen|sich in etwas einmischen wollen|sich in etwas einschleichen wollen|sich in etwas hineinzwängen wollen
burn the midnight oil	bis spät in die Nacht arbeiten|die Nacht durchmachen|nächtelang arbeiten|bis in die Puppen arbeiten
feather in her cap	eine große Leistung|ein großer Erfolg|eine besondere Errungenschaft|eine besondere Auszeichnung
turn over a new leaf	ein neues Kapitel aufschlagen|einen Neuanfang machen|sich ändern|sich bessern
have his cake and eat it too	Das Beste aus beiden Welten haben wollen|Sowohl das eine als auch das andere wollen, obwohl es nicht möglich ist|Den Kuchen behalten und ihn trotzdem essen wollen
weight off her shoulders	eine Last von den Schultern nehmen|sich erleichtert fühlen|sich befreit fühlen
better than a poke in the eye with a sharp stick	besser als nichts|immerhin etwas|es könnte schlimmer sein|es ist besser als gar nichts
ballpark figure	ungefährer Betrag|Pi mal Daumen|geschätzter Betrag
all your eggs in one basket	alles auf ein Pferd setzen|alles auf eine Karte setzen
actions speak louder than words	Taten sagen mehr als Worte|Nicht Worte, sondern Taten zählen|Handlungen sprechen lauter als Worte
with a pinch of salt	mit Vorsicht genießen|mit Skepsis betrachten|nicht alles für bare Münze nehmen
tied to the apron strings	an der Schürze hängen|zu sehr von den Eltern abhängig sein|nicht selbstständig sein
off the top of his head	aus dem Stegreif|ohne Vorbereitung|ohne nachzudenken|ohne Planung
knock on wood	auf Holz klopfen|sich gegen Unglück absichern|sich Glück wünschen
music to my ears	Musik in meinen Ohren|Musik für meine Ohren|genau das, was ich hören wollte|genau das, was ich hören musste
in hot water	in Schwierigkeiten|in Bedrängnis|in Not|in einer misslichen Lage
couch potato	Couch-Potato|Faulenzer|Faulpelz|Trödler|Nichtstuer
went their separate ways	sich trennen|sich aufteilen|getrennte Wege gehen
to look on the bright side	das Positive sehen|optimistisch sein|die Dinge positiv betrachten|die Sonnenseite sehen
to keep my head above water	sich über Wasser halten|sich über Wasser halten können|nicht untergehen|nicht untergehen können|sich behaupten|sich durchschlagen
her bridges	alle Brücken hinter sich abbrechen|sich ins Aus schießen|sich ins Abseits manövrieren|sich selbst ins Knie schießen
burning a hole in my pocket	das Geld brennt mir in der Tasche|ich kann das Geld nicht lange behalten|ich gebe das Geld schnell aus
set in his ways	festgefahren|eingefahren|stur|unbelehrbar|unflexibel
to play fast and loose	sich nicht an Regeln halten|sich über Regeln hinwegsetzen|sich nicht an Vereinbarungen halten|unzuverlässig sein
to throw in the towel	aufgeben|das Handtuch werfen|sich geschlagen geben|kapitulieren
cold shoulder	jemanden ignorieren|jemanden abweisen|jemanden abblocken|jemanden abwimmeln
big fish in a small pond	jemand, der in einem begrenzten Umfeld groß rauskommen will|jemand, der in einem begrenzten Umfeld übertrieben wichtig tut
burning the midnight oil	bis spät in die Nacht arbeiten|die Nacht durchmachen|nächtelang arbeiten|die Nacht zum Tag machen
damp squib	etwas, das enttäuschend oder erfolglos ist|ein Reinfall|eine Enttäuschung|eine Pleite
keep my chin up	nicht den Mut verlieren|sich nicht unterkriegen lassen|durchhalten|optimistisch bleiben
take the rap	die Schuld auf sich nehmen|die Verantwortung übernehmen|die Konsequenzen tragen
getting the hang of it	sich schnell einarbeiten|sich schnell zurechtfinden|sich schnell anpassen|sich schnell an die Arbeit gewöhnen
in over my head	überfordert sein|nicht mehr weiterwissen|nicht mehr Herr der Lage sein|sich über den Kopf gewachsen sein
