down in the dumps	in den Müllkippen|in den Mülltonnen|in den Abfallbehältern|in den Abfallgruben
a big softie	ein großer Weicher|eine große Weiche|ein großer Softie|eine große Softie
drop the ball	den Ball fallen lassen|den Ball fallenlassen|den Ball fallen werfen|den Ball fallenwerfen
to play second fiddle	zweite Geige spielen
not my cup of tea	nicht mein Fall|nicht mein Ding|nicht mein Geschmack|nicht meine Tasse Tee
to bite the bullet	die Zähne zusammenbeißen|die Kugel beißen
the ball rolling	den Ball ins Rollen bringen|den Ball rollen lassen
a piece of cake	ein Stück Kuchen|ein Kuchenstück|ein Keks|ein Plätzchen|ein Leichtes|ein Kinderspiel|eine Kleinigkeit
his word	seine Worte
her cool	NA
plan A	Plan A
making a mountain out of a molehill	aus einer Mücke einen Elefanten machen|aus einer Mücke einen Berg machen|aus einer Mücke ein Drama machen|aus einer Kleinigkeit ein großes Problem machen
skeletons in his closet	Leichen im Keller haben
hit the nail on the head	den Nagel auf den Kopf treffen
bigger fish to fry	größere Fische zu braten haben
it takes two to tango	Dazu gehören immer zwei|Zum Tango gehören immer zwei|Zum Tanzen gehören immer zwei|Es braucht immer zwei zum Tango
hit the hay	ins Bett gehen|ins Heu schlagen|ins Heu gehen|ins Stroh schlagen|ins Stroh gehen
bats in his belfry	Fledermäuse in seinem Glockenturm haben|Fledermäuse in seinem Dachboden haben|Fledermäuse im Kopf haben|eine Meise haben|nicht alle Tassen im Schrank haben|nicht ganz dicht sein|nicht alle Latten am Zaun haben
hot under the collar	heiß unter dem Kragen|heiß unterm Kragen|erhitzt unter dem Kragen|erhitzt unterm Kragen
smoke and mirrors	Rauch und Spiegel
a chip on his shoulder	ein Chip auf seiner Schulter
the icing on the cake	das Tüpfelchen auf dem i|das Sahnehäubchen auf dem Kuchen|die Kirsche auf der Torte
a chip off the old block	ein Splitter vom alten Block|ein Stück vom alten Block|ein Abklatsch des alten Blocks|ein Abbild des alten Blocks
break a leg	brich dir ein Bein|breche dir ein Bein|breche dein Bein|breche dir dein Bein
tighten our belts	unsere Gürtel enger schnallen|unsere Gürtel straffer ziehen|unsere Gürtel fester schnüren
barking up the wrong tree	am falschen Ast sägen|am falschen Baum bellen|den falschen Ansatz verfolgen|auf dem falschen Dampfer sein|auf dem Holzweg sein
stick to her guns	an ihren Waffen festhalten|an ihren Prinzipien festhalten|an ihren Überzeugungen festhalten
his heart set on	sein Herz auf etwas gesetzt haben|sein Herz auf etwas gelegt haben|sein Herz auf etwas gerichtet haben
an uphill battle	ein Kampf bergauf
in over her head	über dem Kopf sein|überfordert sein|nicht mehr weiterwissen|nicht mehr klarkommen
with words	mit Worten
circumstances beyond our control	Umstände außerhalb unserer Kontrolle
her own business	ihr eigenes Geschäft|ihre eigene Firma|ihre eigene Unternehmung|ihre eigene Firma führen|ihre eigene Firma gründen
running around like a headless chicken	herumlaufen wie ein kopfloses Huhn|herumrennen wie ein kopfloses Huhn|wie ein kopfloses Huhn herumlaufen|wie ein kopfloses Huhn herumrennen
the show	die Show|die Vorstellung|die Aufführung
food for thought	Stoff zum Nachdenken|Nahrung für den Geist|Denkanstoß|Anregung zum Nachdenken
between you and me	zwischen dir und mir
take shape	Gestalt annehmen|Form annehmen|sich formen|sich gestalten
a litter of kittens	ein Wurf Kätzchen
roll with the punches	mit den Schlägen rollen|mit den Schlägen umgehen|sich den Schlägen anpassen|sich den Schlägen beugen
To let the cat out of the bag	Die Katze aus dem Sack lassen.
between a rock and a hard place	zwischen Hammer und Amboss|zwischen Baum und Borke|zwischen Scylla und Charybdis|zwischen zwei Übeln
knocking on wood	auf Holz klopfen
your chickens before they're hatched	Deine Hühner zählen, bevor sie geschlüpft sind|Deine Hühner zählen, bevor sie ausgebrütet sind|Deine Hühner zählen, bevor sie schlüpfen
nipped it in the bud	den Keim ersticken|den Keim im Keim ersticken|es im Keim ersticken|es im Keim ersticken
spilled milk	verschüttete Milch
ins and outs	Ins und Outs
pick up the ball and run with it	den Ball aufheben und damit losrennen|den Ball aufnehmen und damit loslaufen|den Ball aufnehmen und damit rennen
put your best foot forward	setze dein bestes Bein vor|setze deinen besten Fuß vor|setze deinen besten Fuß nach vorne|setze dein bestes Bein nach vorne
Burning bridges	Brücken verbrennen
beg, borrow or steal	betteln, leihen oder stehlen
let the chips fall where they may	Lass die Chips fallen, wo sie wollen|Lass die Karten fallen, wie sie wollen|Lass es geschehen, wie es geschehen muss|Lass es auf sich beruhen|NA
walking the talk	Reden und Handeln in Einklang bringen|Taten folgen lassen|Worte in die Tat umsetzen|Das Gesagte auch tun
break the ice	das Eis brechen
put our best foot forward	unseren besten Fuß vorwärts setzen|unseren besten Fuß nach vorne setzen|unser Bestes geben|unsere beste Leistung zeigen
play it by ear	es auf sich zukommen lassen|es improvisieren|es spontan entscheiden|es aus dem Bauch heraus machen
bee in his bonnet	Biene in seinem Hut|Biene in seinem Bonnet|Biene in seiner Mütze
separating the wheat from the chaff	die Spreu vom Weizen trennen
putting money aside for a rainy day	Geld für einen Regentag beiseitelegen|Geld für schlechte Zeiten sparen|Geld für Notfälle sparen|Geld für unvorhergesehene Ausgaben zurücklegen
call it a day	den Tag beenden|den Tag abschließen|den Tag abbrechen|den Tag für beendet erklären
on cloud nine	auf Wolke neun sein
spice things up	Würze die Dinge auf|Würze die Sache|Bringe Würze in die Sache|Bringe Würze in die Dinge
at home	zu Hause
seize the day	Nutze den Tag|Ergreife den Tag|Packe den Tag beim Schopf|Greife den Tag beim Schopf
nodding off	einnicken|wegnicken|einschlafen|nickend einschlafen|mit dem Kopf nicken und einschlafen
like a duck to water	wie ein Fisch im Wasser|wie eine Ente im Wasser
hit the books	in die Bücher eintauchen|in die Bücher vertiefen|sich in die Bücher stürzen|sich in die Bücher vertiefen|sich in die Bücher hineinknien
bounce back	zurückprallen|zurückfedern|zurückhüpfen|zurückkommen
building castles in the air	Luftschlösser bauen
fighting chance	Kampfchance|Kampfmöglichkeit|Kampfgelegenheit
my back	mein Rücken
coming up roses	alles läuft wie am Schnürchen|alles läuft wie geschmiert|alles läuft glatt|alles läuft reibungslos
golden touch	goldener Touch
hit the ground running	mit Vollgas starten|sofort durchstarten|gleich voll einsteigen|direkt loslegen
cut to the chase	zur Sache kommen|zum Wesentlichen kommen|zum Punkt kommen
stranger than fiction	seltsamer als die Fiktion
keep an eye on them	behalte sie im Auge|halte sie im Auge|beobachte sie|achte auf sie
digs in her heels	in ihren Fersen graben|in ihre Fersen graben|in den Boden stampfen|sich weigern, sich zu bewegen|sich weigern, nachzugeben
let out a sigh of relief	einen Seufzer der Erleichterung ausstoßen|einen Seufzer der Erleichterung von sich geben
down the drain	den Bach runter|hinunter in den Abfluss|hinunter in den Ausguss|verloren|verschwendet|umsonst
cost an arm and a leg	ein Vermögen kosten|einen Arm und ein Bein kosten|einen Arm und ein Bein verlangen|sehr teuer sein
bend over backwards	sich nach hinten beugen|sich rückwärts beugen|sich übermäßig anstrengen|sich über Gebühr anstrengen|sich übermäßig bemühen|sich über Gebühr bemühen
sit well with me	gut bei mir ankommen|mir gut gefallen|mir zusagen|mir passen
In a nutshell	in einer Nussschale
green around the gills	grün um die Kiemen|grün um die Kiemenschieber|grün im Gesicht|übel aussehen|übel riechen
chip on his shoulder	ein Chip auf seiner Schulter|ein Stück Holz auf seiner Schulter|ein Stückchen Holz auf seiner Schulter|ein Stückchen Holz auf seiner Schulter haben|ein Chip auf seiner Schulter haben
keep your chin up	Halte dein Kinn hoch|Halte dein Kinn oben|Halte den Kopf hoch|Halte den Kopf oben
dropped the ball	den Ball fallen gelassen|den Ball fallenlassen|den Ball fallen gelassen haben|den Ball fallenlassen haben
put all his eggs in one basket	alle seine Eier in einen Korb tun|alle seine Eier in einen Korb setzen|alle seine Eier in einen Korb legen
see eye to eye	übereinstimmen|gleicher Meinung sein|auf einer Wellenlänge sein|übereinkommen
right up my alley	genau mein Ding|genau meine Kragenweite|genau mein Fachgebiet|genau mein Metier
beating a dead horse	ein totes Pferd schlagen|ein totes Pferd reiten
have a cow	eine Kuh haben
threw in the towel	das Handtuch geworfen|das Handtuch geschmissen|aufgegeben|sich geschlagen geben
lean on her	sich auf sie lehnen|sich an sie lehnen|sich auf sie stützen|sich an sie stützen
hammer out	herausarbeiten|herauszimmern|herausklopfen|herausmeißeln
to go the extra mile	die extra Meile gehen
stolen her thunder	ihr den Donner gestohlen|ihren Donner gestohlen|ihren Donner weggenommen|ihren Donner gestohlen haben
caught between a rock and a hard place	zwischen Hammer und Amboss sein|zwischen Baum und Borke sein|zwischen zwei Stühlen sitzen|in der Zwickmühle sein
fallen flat	flach fallen|scheitern|nicht funktionieren|nicht klappen|nicht aufgehen
to bite off more than I can chew	mehr abbeißen, als ich kauen kann
up in the air	in der Luft|in der Höhe|oben in der Luft|oben in der Höhe
up in smoke	in Rauch aufgehen|in Rauch aufgelöst werden|verpuffen|verdampfen
dead in the water	tot im Wasser|tot im Meer|leblos im Wasser|leblos im Meer
sink in	einsinken|versinken|sinken
to hit the hay	ins Bett gehen|ins Heu schlagen|ins Heu gehen|ins Stroh schlagen|ins Stroh gehen
running around like a chicken with its head cut off	herumlaufen wie ein Huhn ohne Kopf|herumrennen wie ein Huhn ohne Kopf|wie ein Huhn ohne Kopf herumlaufen|wie ein Huhn ohne Kopf herumrennen
behind the eight ball	in einer schwierigen Lage sein|in einer misslichen Lage sein|in einer ungünstigen Lage sein|in einer schlechten Position sein
in a rut	in einer Sackgasse|in einer Krise|in einer Flaute|in einer Routine
to butter me up	mich einschmeicheln|mich schmeicheln|mir Honig ums Maul schmieren|mir Honig um den Mund schmieren|mir Honig ums Kinn schmieren|mir Honig um den Bart schmieren|mir Honig um die Ohren schmieren|mir Honig um die Nase schmieren|mir Honig um den Finger wickeln|mir Honig um den Daumen wickeln|mir Hon
the ground running	der Boden läuft|der Lauf des Bodens
the whole nine yards	die ganze neun Yards
a clean slate	eine saubere Tafel|eine leere Tafel|eine unbeschriebene Tafel|ein unbeschriebenes Blatt Papier|ein weißes Blatt Papier|ein weißes Blatt
put the cart before the horse	den Karren vor das Pferd spannen|das Pferd hinter den Karren spannen|den Wagen vor das Pferd setzen|den Wagen vor das Pferd spannen
the box	die Box|der Kasten|der Karton
bite off more than I can chew	mehr abbeißen als ich kauen kann
her pride	ihr Stolz
in no time	in kürzester Zeit|im Handumdrehen|blitzschnell|schnell wie der Blitz|in null Komma nichts|in Windeseile|im Nu|innerhalb von Sekunden|in Rekordzeit
keep our eyes peeled	Augen offen halten|Augen aufhalten|Augen aufsperren|Augen aufreißen
to wrap his head around	seinen Kopf um etwas wickeln|seinen Kopf um etwas herumwickeln|seinen Kopf um etwas herumkriegen|sich den Kopf um etwas herumwickeln|sich den Kopf um etwas herumkriegen
early bird catches the worm	Der frühe Vogel fängt den Wurm.
put their nose to the grindstone	die Nase an den Schleifstein legen|die Nase an den Schleifstein setzen|die Nase an den Schleifstein drücken
to cut to the chase	zur Sache kommen|zum Punkt kommen|direkt zur Sache kommen|direkt zum Punkt kommen
whole new ballgame	ganz neues Spiel|ganz neue Situation|ganz neue Herausforderung
to pull your leg	jemanden auf den Arm nehmen|jemanden veräppeln|jemanden veralbern|jemanden zum Narren halten
to keep their chin up	den Kopf hochhalten|das Kinn hochhalten|die Stimmung hochhalten|sich nicht unterkriegen lassen
take the backseat	auf den Rücksitz gehen|auf den Hintersitz gehen|auf den hinteren Sitzplatz gehen
strike while the iron is hot	Das Eisen schmieden, solange es heiß ist.
breathe easy	leicht durchatmen|leicht atmen|leichter atmen|leichtes Atmen
a spoonful of sugar	ein Löffel Zucker
in the red	im roten Bereich|im Minus|im Defizit|im Schuldenstand
feel under the weather	sich schlapp fühlen|sich unwohl fühlen|sich kränklich fühlen|sich nicht wohl fühlen|sich nicht gut fühlen
hits the nail on the head	den Nagel auf den Kopf treffen
of leeway	Spielraum|Spielräume|Spielräumen
in due course	zu gegebener Zeit|im Laufe der Zeit|mit der Zeit|früher oder später
spill the beans	die Bohnen verschütten|die Bohnen auskippen|die Bohnen ausplaudern|das Geheimnis verraten
Bite the bullet	die Zähne zusammenbeißen|auf die Zähne beißen|den Schmerz ertragen|sich zusammenreißen|sich durchbeißen
keep their eyes peeled	die Augen offen halten|die Augen gespitzt halten|die Augen aufhalten|die Augen aufsperren
put our noses to the grindstone	unsere Nasen an den Schleifstein legen|unsere Nasen an den Schleifstein setzen|unsere Nasen an die Arbeit setzen|unsere Nasen zur Mühle legen|unsere Nasen zur Mühle setzen|unsere Nasen zur Arbeit setzen
turn the tables	die Tische umdrehen|die Tische umkehren|die Tische wenden
fall through	durchfallen|durchrasseln|nicht bestehen|scheitern|fehlschlagen
keep the ball rolling	den Ball am Rollen halten|den Ball in Bewegung halten|den Ball weiterrollen lassen
let the cat out of the bag	die Katze aus dem Sack lassen
hang in there	halt durch|bleib dran|halte durch|bleibe dran
a blur	eine Unschärfe|ein verschwommenes Bild|ein verschwommenes Objekt|ein verschwommenes Etwas
pull the wool over people's eyes	jemandem Wolle vor die Augen ziehen|jemanden täuschen|jemanden hinters Licht führen|jemanden in die Irre führen
dropping the ball	den Ball fallen lassen|den Ball fallenlassen|den Ball fallenwerfen|den Ball fallenwerfen lassen
pull himself together	sich zusammenreißen|sich zusammennehmen|sich zusammenfassen|sich sammeln|sich konzentrieren
rat race	Rattenrennen
to hit the ground running	"""Hit the ground running"" means to start a new activity with a lot of energy and enthusiasm. A literal translation could be ""mit voller Energie und Begeisterung starten""."
spot on	genau richtig|punktgenau|auf den Punkt|exakt|präzise
stringing her along	sie hinhalten|sie vertrösten|sie vertrödeln|sie auf die lange Bank schieben
a cash cow	eine Goldgrube|eine Gelddruckmaschine|eine Cashcow
traffic jam	Verkehrsstau|Verkehrsstockung|Stau|Verkehrsknotenpunkt|Verkehrshindernis|Verkehrshemmung
went the whole nine yards	alle neun Yards gegangen
let sleeping dogs lie	schlafende Hunde soll man nicht wecken
dot our i's and cross our t's	unsere i's punkten und unsere t's kreuzen
paint the town red	die Stadt rot anmalen|die Stadt rot streichen|die Stadt rot färben
pulled myself up by my bootstraps	habe mich an meinen Stiefelriemen hochgezogen|habe mich an meinen Stiefelschlaufen hochgezogen
bail out	aussteigen|aussteigen lassen|aussteigen aus|aussteigen auslassen|aussteigen aussteigen|aussteigen aussteigen lassen|aussteigen aussteigen aus|aussteigen aussteigen auslassen|aussteigen lassen|aussteigen lassen lassen|aussteigen lassen aus|aussteigen lassen auslassen|aussteigen lassen aussteigen|aussteigen lassen aussteigen lassen|aussteigen lassen aussteigen
point him in the right direction	Zeige ihm in die richtige Richtung|Weise ihn in die richtige Richtung|Zeige ihm den richtigen Weg|Weise ihn zum richtigen Weg
to keep a stiff upper lip	eine steife Oberlippe bewahren|eine steife Oberlippe behalten|eine feste Oberlippe bewahren|eine feste Oberlippe behalten
sleep on it	darüber schlafen
fish out of water	Fisch auf dem Trockenen|Fisch an Land|Fisch außerhalb seines natürlichen Elements|Fisch außerhalb seines Gewässers
a laugh riot	ein Lachriot|eine Lachorgie|eine Lachsalve|ein Lachanfall
make or break	machen oder brechen
let off steam	Dampf ablassen|Luft ablassen|sich abreagieren|sich auspowern
click with you	mit jemandem auf einer Wellenlänge sein|mit jemandem harmonieren|mit jemandem klarkommen|mit jemandem gut auskommen
slow as molasses	langsam wie Melasse
flat as a pancake	flach wie ein Pfannkuchen
calls the shots	die Schüsse abgeben|die Entscheidungen treffen|das Sagen haben|den Ton angeben
talk the hind legs off a donkey	jemandem die Ohren abkauen|jemandem die Ohren vollquatschen|jemandem die Ohren abquatschen|jemandem die Ohren abreden
fly off the handle	aus der Haut fahren|ausflippen|die Fassung verlieren|sich aufregen|sich auf die Palme bringen|sich auf den Schlips getreten fühlen
throw in the towel	das Handtuch werfen|das Handtuch schmeißen|aufgeben|kapitulieren
bite your tongue	beiß dir auf die Zunge|beiße dir auf die Zunge|halt dir die Zunge|halte dir die Zunge
to get a foot in the door	einen Fuß in die Tür bekommen|einen Fuß in der Tür haben|einen Fuß in der Tür stehen haben
let their hair down	die Haare herunterlassen|die Haare runterlassen|sich entspannen|sich locker machen|sich gehen lassen
have a chip on her shoulder	einen Chip auf der Schulter haben
to keep their heads above water	den Kopf über Wasser halten
beating around the bush	um den heißen Brei herumreden|um den Brei herumreden|um den Busch herumreden|um den heißen Busch herumreden
to keep my chin up	den Kopf hochhalten|das Kinn hochhalten|aufrecht bleiben|nicht den Mut verlieren|nicht aufgeben
started to butt heads	begannen, mit den Köpfen zusammenzustoßen
to move the goalposts	das Ziel verschieben|die Torpfosten verschieben
let bygones be bygones	das Vergangene ruhen lassen|das Vergangene hinter sich lassen|das Vergangene vergessen|das Vergangene ruhen lassen
keep all her ducks in a row	alle Enten in einer Reihe behalten|alle Enten in einer Reihe haben|alle Enten in einer Reihe halten
laugh his head off	sich den Kopf ab(lachen)|sich kaputtlachen|sich totlachen
jump out of her skin	aus der Haut fahren|aus ihrer Haut fahren|aus der Haut springen|aus ihrer Haut springen
at a snail's pace	im Schneckentempo|mit Schneckengeschwindigkeit|sehr langsam|extrem langsam
come out of his shell	aus seiner Schale kommen|aus seiner Hülle kommen|aus seinem Panzer kommen
get one's act together	seine Sachen zusammenbekommen|seine Angelegenheiten in Ordnung bringen|seine Handlungen koordinieren|seine Handlungen organisieren
as cool as a cucumber	so cool wie eine Gurke
a wild-goose chase	eine Schnitzeljagd|eine wilde Gänsejagd|eine sinnlose Suche|eine vergebliche Suche|eine aussichtslose Suche
keep the wolf from the door	den Wolf von der Tür fernhalten
she has ants in her pants	sie hat Ameisen in der Hose
putting all their eggs in one basket	alle ihre Eier in einen Korb tun|alle ihre Eier in einen Korb setzen|alle ihre Eier in einen Korb legen
get a foot in the door	einen Fuß in die Tür bekommen|einen Fuß in der Tür haben|einen Fuß in der Tür stehen haben
burn the midnight oil	das Mitternachtsöl verbrennen|das Öl der Mitternacht verbrennen|bis spät in die Nacht arbeiten|bis spät in die Nacht lernen
feather in her cap	Feder in ihrem Hut|Feder in ihrem Kappe
turn over a new leaf	ein neues Blatt umdrehen|ein neues Blatt wenden|eine neue Seite aufschlagen|sich bessern|sich ändern|sich verbessern
have his cake and eat it too	seinen Kuchen haben und ihn auch essen|seinen Kuchen behalten und ihn auch essen|seinen Kuchen besitzen und ihn auch essen
weight off her shoulders	Gewicht von ihren Schultern|Last von ihren Schultern
better than a poke in the eye with a sharp stick	besser als ein Stich ins Auge mit einem scharfen Stock|besser als ein Stich ins Auge mit einem spitzen Stock|besser als ein Stich ins Auge mit einem scharfen Stift|besser als ein Stich ins Auge mit einem spitzen Stift
ballpark figure	ungefähre Zahl|ungefährer Wert|ungefährer Betrag|ungefährer Preis|ungefährer Richtwert
all your eggs in one basket	alle Eier in einen Korb tun|alle Eier in einen Korb setzen|alle Eier in einen Korb legen
actions speak louder than words	Taten sprechen lauter als Worte.
with a pinch of salt	mit einer Prise Salz
tied to the apron strings	an den Schürzenbändern gebunden sein|an den Schürzenfäden gebunden sein
off the top of his head	aus dem Stegreif|ohne nachzudenken|ohne Vorbereitung|ohne Überlegung
knock on wood	auf Holz klopfen
music to my ears	Musik in meinen Ohren|Musik in meinen Ohren sein
in hot water	in heißem Wasser|in heißem Dampf|in Schwierigkeiten|in der Klemme|in Bedrängnis|in Not
couch potato	Couchkartoffel
went their separate ways	gingen getrennte Wege
to look on the bright side	die Dinge positiv sehen|die Dinge von der positiven Seite betrachten|die Dinge von der hellen Seite betrachten
to keep my head above water	über Wasser halten|den Kopf über Wasser halten|sich über Wasser halten
her bridges	"I'm sorry, but ""her bridges"" is not a complete phrase or sentence. Please provide more context or information."
burning a hole in my pocket	ein Loch in meine Tasche brennen
set in his ways	in seinen Wegen gefangen|in seinen Gewohnheiten gefangen|in seinen Ansichten gefangen|in seinen Überzeugungen gefangen
to play fast and loose	mit etwas spielen|schnell und locker spielen|schnell und leichtsinnig spielen|schnell und unzuverlässig spielen
to throw in the towel	das Handtuch werfen|das Handtuch schmeißen|aufgeben|kapitulieren
cold shoulder	kalte Schulter
big fish in a small pond	großer Fisch in einem kleinen Teich
burning the midnight oil	das Mitternachtsöl verbrennen|das Öl der Mitternacht verbrennen|die Mitternachtsstunde mit Arbeit verbringen|bis spät in die Nacht arbeiten
damp squib	feuchtes Feuerwerk|nasses Feuerwerk|feuchter Knaller|nasser Knaller|enttäuschendes Ereignis|enttäuschender Vorfall
keep my chin up	den Kopf hochhalten|das Kinn hochhalten
take the rap	die Schuld auf sich nehmen|die Verantwortung übernehmen|den schwarzen Peter haben
getting the hang of it	den Dreh rausbekommen|den Bogen rausbekommen|den Bogen raushaben|den Dreh raushaben
in over my head	über meinem Kopf|überfordert|überfordert sein|überfordert sein mit etwas|in etwas verwickelt sein, das man nicht bewältigen kann
cool head	kühler Kopf
life of the party	Lebensmittelpunkt der Party|Lebensmittelpunkt der Feier|Lebensmittelpunkt des Festes
noses to the grindstone	Nasen an den Schleifstein|Nasen am Schleifstein|Nasen auf den Schleifstein drücken
bigger picture	größeres Bild
get on the same page	auf die gleiche Seite kommen|auf einer Seite sein|auf einer Wellenlänge sein|auf gleicher Ebene sein
off the cuff	aus dem Stegreif|ohne Vorbereitung|unvorbereitet|spontan
her all	NA
to sweeten the pot	den Topf süßen|den Topf versüßen|den Einsatz erhöhen|das Angebot verbessern|das Angebot attraktiver machen
bought hook, line and sinker	etwas mit Haut und Haaren schlucken|etwas ohne zu hinterfragen glauben|etwas bedingungslos akzeptieren|etwas blindlings glauben
to go the distance	die Strecke bis zum Ende gehen|die Strecke bis zum Schluss gehen|bis zum Ende durchhalten|bis zum Schluss durchhalten
to treat yourself	sich selbst verwöhnen|sich selbst belohnen|sich selbst gönnen|sich selbst behandeln
spinning our wheels	unsere Räder drehen|unsere Räder im Leerlauf drehen|unsere Räder durchdrehen|unsere Räder ohne Fortschritt drehen
silver lining	Silberstreif am Horizont
to hit the nail on the head	den Nagel auf den Kopf treffen
with a chip on her shoulder	mit einem Chip auf ihrer Schulter
with a grain of salt	mit einer Prise Salz|mit einem Körnchen Salz|mit Salz|mit Vorsicht|mit Skepsis|mit Zurückhaltung
to play devil's advocate	den Advokaten des Teufels spielen
a social butterfly	ein geselliger Schmetterling
the benefit of the doubt	der Vorteil des Zweifels
a bitter pill to swallow	eine bittere Pille zum Schlucken
a fish out of water	ein Fisch außerhalb des Wassers|ein Fisch an Land
sell it like hotcakes	es wie warme Semmeln verkaufen
pull out all the stops	alle Register ziehen|alle Hebel in Bewegung setzen|keine Kosten und Mühen scheuen|sich ins Zeug legen|sich voll reinhängen
all hat, no cattle	viel Lärm um nichts|viel Wind um nichts|alles Gerede, keine Taten|alles Gerede, keine Substanz
to pass up	verpassen|vorbeigehen lassen|nicht wahrnehmen|nicht ergreifen|nicht nutzen
to stay ahead of the game	der Konkurrenz einen Schritt voraus bleiben|dem Spiel voraus bleiben|vor dem Spiel bleiben|vor dem Spiel einen Schritt voraus bleiben
to turn over a new leaf	ein neues Blatt umdrehen|ein neues Blatt wenden|eine neue Seite aufschlagen|sich bessern|sich ändern|sich verbessern
drop in the bucket	ein Tropfen auf den heißen Stein|ein Tropfen im Ozean|ein Tropfen auf den heißen Stein im Ozean
sticker shock	Preisschock|Schock durch den Preis|Schock beim Anblick des Preises
take a rain check	einen Regencheck nehmen
has her ducks in a row	hat ihre Enten in einer Reihe|hat ihre Enten in einer Reihe aufgereiht|hat ihre Enten in einer Reihe geordnet
jump on the bandwagon	auf den fahrenden Zug aufspringen|auf den Zug aufspringen|mit auf den Zug aufspringen|mit auf den fahrenden Zug aufspringen
cross the finish line	die Ziellinie überqueren|die Ziellinie durchlaufen|die Ziellinie passieren
butterflies in his stomach	Schmetterlinge im Bauch haben
lick my wounds	meine Wunden lecken
kill two birds with one stone	zwei Fliegen mit einer Klappe schlagen
red herrings	rote Heringe
of the essence	von wesentlicher Bedeutung|von entscheidender Bedeutung|essentiell|wesentlich|unabdingbar|unerlässlich
she missed the boat	sie hat das Boot verpasst
the bush	der Busch
a fly in the ointment	eine Fliege in der Salbe|eine Fliege im Salz|eine Fliege im Öl|ein Störfaktor|ein Hindernis|ein Problem
